class,DS,DU
4,745.5,8
7,6344.2,33
3,2937.97,18
7,450.33,47
1,1810.03,25
1,7732,35
0,1872.58,16
3,464.27,5
4,1252.59,13
3,5237.89,41
5,3304.94,29
5,1142,13
3,1354.56,9
7,2468.41,13
3,1260.82,11
4,1810.86,10
4,1089.04,8
7,11915.02,65
0,9007.65,46
5,1529.34,10
4,1748.36,12
0,633.3,5
7,3150.31,17
4,7510.87,53
1,614.57,3
0,1253.82,9
0,1815.41,9
5,1982.28,14
5,1387.96,18
0,1486.63,9
5,1604.56,19
7,508.05,18
5,1311.86,10
2,4521.94,31
7,2686.9,19
0,960.49,10
5,957,34
0,1628.74,12
5,847.56,13
0,1929.52,11
3,3242.72,15
6,1127.58,6
3,1025.37,6
7,681.92,6
4,1526.02,8
5,898.53,9
2,2222.38,15
3,905.48,4
0,965.61,22
5,2158.27,36
0,4973.42,41
5,507.94,5
0,604.09,27
4,1764.75,13
7,4409.65,15
5,4395.25,28
7,793.8,15
1,749.48,6
7,3049.95,16
2,3319.12,22
1,1089.14,7
5,4030.96,31
0,1363.87,9
0,1963.19,9
4,904.89,16
0,1709.37,8
1,1824.38,9
4,1287.87,8
2,2586.97,19
0,1282.57,8
6,1945.2,19
0,1287.85,10
3,1537.51,13
2,1404.09,21
3,905.39,6
2,1820.19,11
5,1721.9,13
3,575.83,4
1,2196.69,34
7,1898.94,15
2,3304.7,14
5,1640.86,11
2,1851.83,12
5,2196.84,14
0,2367.86,30
0,997.27,6
3,459.33,3
7,851.52,8
0,1123.24,7
7,903,9
7,3017.39,25
3,3821.35,32
5,916.23,11
3,2731.66,15
3,2704.77,23
1,4077.65,19
5,11066.01,74
2,1380.05,16
4,2900.07,19
2,2700.48,17
7,789.29,21
4,2257.58,19
4,5605.36,30
3,2278.17,14
5,6819.12,54
1,1598.17,12
0,2245.48,14
4,2545.56,15
2,2148.41,15
0,4410.17,37
0,1418.61,7
0,936.16,8
5,754.78,11
0,1545.03,10
3,2851.88,18
3,1301.44,7
5,2398,22
0,3950.65,30
0,1954.38,10
4,1158.15,12
5,1718.34,13
3,2422.95,15
5,3646.44,19
3,911.8,5
0,3237.72,17
3,339.03,3
4,1708.2,8
0,2564.91,20
3,1376.56,26
0,3336.64,21
0,8690.14,95
0,1060.02,6
2,503.51,4
5,1384.99,13
5,798.29,30
7,677.67,7
4,5533.86,28
7,1585.95,12
7,2538.35,15
0,1892.45,11
2,2476.41,19
4,1110.21,10
4,2380.69,31
1,903.72,7
4,1692.44,8
5,750.56,5
1,402.4,6
2,4341.58,25
2,401.9,13
1,561.52,7
5,692.11,3
5,2972,24
7,837.35,16
1,1287.35,13
5,1639.98,10
3,3372.92,18
2,963.09,4
5,1408.53,8
5,1533.49,9
3,2041.69,27
2,1304.62,1053
7,2293.47,12
5,1552.57,13
5,4854.58,36
5,629.77,10
0,1475.85,23
0,1466.58,8
4,1977.3,10
5,2193.33,17
4,1988.22,16
3,1951.47,17
4,3287.88,17
5,1356.32,8
7,5795.65,24
3,1960.73,22
0,3830.89,19
4,1591.73,9
0,4972.05,24
7,1989.06,11
2,1597.44,17
3,3576.74,15
1,5421.69,37
2,2638.24,13
4,10984.29,60
0,2145.53,14
4,931.55,8
5,2700.2,14
0,1520.69,11
5,280.83,31
0,2922.95,9
3,5997.82,65
5,2192.23,23
1,4319.08,35
4,2487.21,27
2,875.78,6
7,3016.12,34
1,798.61,8
4,871.2,8
3,4297.23,26
5,2182.66,14
0,464.57,13
4,2488.75,17
5,1098.91,8
5,1969.26,14
5,1247.4,7
5,2688.51,18
0,4775,59
0,4736.95,25
6,3687.98,17
7,2934.28,17
5,1384.74,7
5,2664.77,30
5,629.05,4
0,2740.66,20
5,1519.24,20
7,12111.59,63
4,1020.93,5
5,1201.16,6
3,1964.88,15
0,1849.57,99
5,3904.55,49
5,1852.31,9
7,2690.55,81
6,396.22,18
7,692.1,4
0,1292.56,10
1,4901.03,27
3,1738.61,12
4,8392.96,30
2,799.99,4
0,871.11,4
7,2120.89,24
5,3470.26,17
7,2971.29,18
0,3115.31,25
3,1858.13,14
5,619.95,3
5,8914.72,74
0,856.46,6
0,5520.46,41
5,1701.79,11
3,1137.8,7
5,2798.1,26
7,919.22,7
3,6954.21,32
2,804.53,8
5,2372.55,17
5,3898.29,20
5,682.85,6
2,3379.19,16
2,2843.26,26
7,2430.12,14
3,638.4,20
7,2293.45,16
5,1480.5,7
3,856.85,4
3,2551.03,22
5,8414.67,52
0,953.51,6
7,3078.57,14
3,1035.92,6
4,7771.4,52
5,1454.33,13
7,1998.28,11
5,7837.67,49
5,1188.57,7
4,512.9,5
5,1662.52,23
5,664.04,3
7,914.96,6
2,1566.95,10
5,899.56,5
0,2785.19,21
5,1282.58,5
0,3357.45,14
2,2371.8,12
3,1514.67,8
5,1238.64,9
7,2173.71,15
5,2535.28,23
7,962.88,11
2,1834.26,9
4,2565.67,9
4,837.29,8
5,1809.63,10
5,579.61,4
0,6991.44,34
0,3265.55,12
5,1368.71,7
7,450.19,4
5,339.03,6
7,2798.29,19
2,1655.42,11
4,672.86,3
7,3460.82,19
0,755.86,5
7,575.92,4
0,580.06,3
3,1199.73,10
4,1064.55,8
5,792.89,5
4,1817.21,15
3,972.06,12
7,1477.54,8
0,927.76,5
0,3563.16,17
7,3080.61,152
0,847.68,5
0,1520.38,12
7,681.96,4
0,1862.76,15
3,899.94,5
0,1766.4,9
4,1855.84,8
7,3391.05,18
0,3124.02,16
3,1567.28,9
0,1084.37,9
2,1514.95,13
2,454.9,3
2,1408.16,5
5,2718.87,19
2,1543.71,10
5,1809.14,7
7,802.93,7
5,963.7,7
5,4170.66,21
2,842.36,6
0,1718.98,9
0,1413.43,9
4,1281.58,8
0,1823.68,12
0,4031.89,17
5,1287.51,8
0,619.57,4
0,1253.97,7
0,1641.85,7
5,1340.53,5
7,581.21,6
5,1090.53,6
0,2043.67,22
2,1414.02,9
5,1365.08,10
5,1360.15,5
5,4555.93,20
0,2396.52,15
5,3399.29,25
1,1423.81,11
5,2279.91,29
4,343.4,4
7,1737.09,11
7,929.23,8
3,2342.82,11
2,1243.7,6
3,1427.62,9
0,673.02,4
3,1146.31,8
2,2269.8,16
2,1103.41,10
3,711.57,8
7,905.63,4
0,4038.2,20
4,2413.83,18
5,4841.1,25
5,1292.12,7
0,1146.74,7
5,725.88,4
5,628.01,4
2,1200.32,8
4,3807.96,19
0,895.68,7
5,750.2,6
0,2334.12,13
4,682.65,3
2,629.47,7
5,566.59,4
2,1125.31,8
7,697.13,4
0,1623.71,12
3,633.02,5
0,2322.64,13
0,1483.97,8
0,1941.03,7
3,846.8,5
0,2862.33,15
0,3935.77,19
5,851.53,9
5,1016.07,7
0,4265.88,20
2,624.66,6
2,798.46,4
2,2220.26,16
4,10324.77,51
4,5434.67,30
5,2695.77,13
3,1185.63,5
0,2862.9,14
7,1073.81,6
5,1229.59,9
4,2252.05,16
7,682.82,4
7,2242.24,13
5,985.27,5
7,579.85,4
3,1299.75,9
2,3486.46,24
1,973.16,5
0,1967.7,12
5,4725.63,27
2,1021.12,6
5,904.85,7
0,3019.09,14
0,1138.77,9
0,2424.95,24
5,2438.05,16
5,1198.88,5
0,962.54,5
3,2816.32,15
0,1360.5,11
5,754.75,6
5,566.24,3
5,791.68,4
0,808.11,4
4,2433.36,10
0,1243.12,7
5,1699.13,9
4,585.48,5
5,406.42,3
0,1360.78,5
6,1079.03,5
2,1342.05,7
3,625.5,14
0,2668.7,16
3,3188.1,13
5,937.37,4
5,1093.53,7
2,2066.71,17
3,2350.98,16
5,744.47,7
5,905.89,6
0,2080.35,10
6,459.51,3
2,1176.04,33
4,1568.76,9
0,566.52,4
0,762.72,9
0,1138.77,11
3,1785.51,11
5,745.18,5
0,1460.79,8
5,2745.41,27
5,725.93,4
0,2804.17,18
7,905.2,5
7,1920.75,11
0,910,5
7,794.54,5
7,2637.79,14
5,507.96,3
4,1386.58,16
3,624.91,6
5,1562.04,10
7,4311.54,23
3,628.91,5
5,1084.04,4
0,575.33,8
5,522.41,3
5,2641.93,13
5,3490.93,22
2,1814.22,8
3,1132.2,11
3,10269.99,67
2,749.69,5
5,779.71,4
5,13102.57,68
0,1292.99,9
1,4561.18,23
7,561.16,5
2,1979.2,21
3,1299.4,9
2,682.78,7
3,4984.16,27
0,850.29,7
4,614.84,6
5,1731.72,12
4,958.54,6
5,735.98,327
7,571.53,5
0,1974.43,11
0,1089.49,6
0,977.15,5
1,957.91,12
0,1258.52,7
4,5667.75,31
0,3075.33,23
2,2085.5,14
0,1588.05,11
0,1866.26,9
0,1636.36,8
0,909.52,6
5,962.83,5
7,682.2,7
0,907.41,5
2,1868.55,8
0,1490.69,12
7,1393.88,6
0,1280.1,15
7,1305.95,8
0,1862.72,13
5,959.06,5
7,1289.23,8
0,842.45,5
0,3029.66,18
0,2054.07,19
5,2139.28,8
3,1092.83,7
3,6138.1,28
1,3686.7,27
2,12872.99,76
2,784.04,5
0,827.26,11
5,1272.22,8
3,808.63,10
7,1069.4,6
5,4586.82,27
1,6473.16,34
0,2880.48,17
4,7240.12,31
0,2979.37,14
3,561.58,24
5,7022.18,36
4,1912.17,14
0,3125.29,18
2,1714.58,14
6,1195.18,9
7,1457.13,12
5,1367.32,8
0,401.41,8
0,682.85,5
0,634.27,5
4,1315.98,8
7,986.59,10
7,1155.89,8
1,280.65,4
2,2086.23,15
3,1920.25,21
2,3967.42,22
3,1527.02,10
0,614.8,4
0,3207.54,14
2,1136.95,6
4,1458.46,10
3,508.34,3
1,2032.37,11
0,3703.53,22
7,1384.3,11
3,3642.18,22
3,3833.65,18
3,1598.02,17
7,512.35,11
5,3926.81,19
2,624.23,3
7,3300.41,15
3,2294.94,25
5,2573.73,17
0,1916.92,14
5,3247.46,14
3,1418.41,12
0,1089.99,11
2,1234.74,9
7,1548.24,10
3,1003.77,4
1,2972.22,23
5,579.77,3
3,2440.14,14
5,509.2,5
5,4321.51,18
2,4676.45,20
7,1287.69,8
0,1760.68,10
3,964.27,5
0,1635.8,7
5,1187.58,6
2,5451.66,29
0,507.91,4
3,682.41,12
3,2975.11,17
5,2559.94,15
5,1258.66,9
0,6957.81,36
4,1724.82,11
0,842.58,6
7,1223.95,7
7,1030.89,10
5,1242.29,7
0,5189.17,25
4,1247.28,8
1,677.81,5
3,1373.97,9
2,4883.34,22
2,1088.45,13
1,3649.15,30
5,1020.25,9
3,1179.81,7
5,3447.47,20
5,781.98,10
0,730.52,5
0,3384.95,22
5,731.09,5
0,2186.87,19
2,650.18,6
0,1461.65,8
0,2565.01,14
4,2988.71,18
3,2540.46,15
0,5405.97,44
4,1292.33,6
1,793.32,5
2,1694.49,17
5,2388.9,19
4,3868.58,30
0,1382.21,9
5,2293.91,11
5,3001.86,15
5,3236.58,19
0,4158.17,28
7,676.95,5
0,619.49,3
2,1775.67,12
0,1618.71,13
5,5663.77,37
7,2729.42,17
5,1181.46,6
7,522.73,4
0,1252.42,9
6,2341.71,12
3,1210.23,8
2,1534.65,9
3,503.44,4
3,3764.9,22
4,3655.55,19
0,1025.63,7
2,5611.67,35
0,402.06,3
2,948.6,4
2,2864.56,14
0,3869.78,24
6,1176.04,7
3,837.12,3
5,1879.88,23
3,3875.62,23
2,1069.18,8
7,687.41,31
0,1900.14,9
1,2059.99,15
5,2009.64,15
5,1882.07,8
5,1249.27,12
0,1470.01,10
5,2256,12
0,1943.25,9
0,2484.97,13
0,4227.92,22
0,992.78,6
4,697.29,5
5,474.48,4
0,1701.72,15
0,1084.67,8
4,1393.73,8
0,614.65,5
3,1198.4,4
2,638.82,5
7,851.56,7
4,3218.74,25
2,2060.22,20
0,6891.58,40
0,852.24,6
0,1128.31,6
7,1326.32,13
3,2868.47,23
2,749.83,6
5,3043.56,13
5,3290.44,18
0,895.14,6
5,1133.36,9
2,688.38,11
0,169.35,25
1,1456.06,7
0,1886.88,20
4,4466.3,31
0,3736.19,19
2,1120.79,10
3,745.35,8
3,958.15,8
0,918.27,10
4,1417.39,7
2,1408.46,8
0,2931.05,15
1,1016.18,5
3,454.64,4
2,1373.51,12
0,967.59,5
4,1519.76,8
7,459.52,4
4,2086.08,8
2,5143.1,27
7,978,6
2,2062.46,16
0,2299.11,13
0,2298.33,13
5,1422.64,14
3,1505.33,7
7,1212.9,10
2,3509.96,22
1,2666.14,10
7,648.67,8
5,619.42,4
2,1079.26,9
4,641.51,6
7,1746.77,8
0,2281.77,7
0,1629.51,7
7,1500.3,10
5,1040.36,9
3,870.48,6
4,619.58,4
5,2095.39,22
5,2789.74,15
0,1271.59,10
0,1592.86,9
5,1404.11,7
3,1685.23,13
5,1247.13,8
5,1691,13
0,1675.96,14
4,1073.73,7
3,1698.71,8
1,3905.29,28
4,642.95,5
0,1287.59,12
2,1272.45,7
7,628.9,4
2,1452.07,7
5,1358.45,11
5,1195.01,6
4,2669.66,23
4,2352.86,14
0,1903.08,9
5,1259.18,7
7,1567.02,12
5,4828.54,41
0,571.55,4
5,2751.75,16
3,1827.05,11
5,619.85,4
4,1234.4,5
6,1219.25,4
2,2134.77,18
5,969.23,8
4,1141.43,7
7,3100.97,13
5,1069.89,5
4,1234.54,11
3,1935.23,11
1,1360.39,9
1,798.27,3
0,2317.58,11
0,4519.94,25
6,777.71,8
0,619.92,7
0,2142.07,12
0,3318.66,6
5,1801.27,11
0,1396.88,7
7,1091.43,6
7,1138.93,11
5,571.3,5
3,914.78,6
2,3557.51,24
3,958.22,7
5,1043.09,12
3,807.83,7
2,809.6,7
4,978.32,7
5,1069.96,10
0,1698.55,15
5,1912.03,13
5,1181.48,7
0,912.23,4
4,813.43,8
4,2144.22,10
0,794.5,21
0,1033.94,9
7,1465.45,8
3,1132.33,7
3,1287.92,5
0,455.06,4
5,4570.99,32
7,1945.39,12
0,1195.82,10
5,1534.16,11
4,2447.74,12
0,1751.29,7
4,1426.03,10
1,1262.76,9
3,1819.11,9
7,1988.95,19
7,1384.27,7
2,227.57,3
0,1627.61,9
4,1151.09,7
0,585.05,12
1,736.01,4
5,16116.72,79
4,842.35,6
4,2416.33,15
3,2226.72,15
4,1040.47,5
7,959.62,7
7,2110.06,12
0,2352.44,10
0,634.65,6
3,508.35,3
7,2885.33,19
0,672.86,5
5,2740.87,15
0,681.61,3
0,1069.67,6
5,1253.32,10
4,1218.31,8
7,3140.51,22
0,1147.63,7
0,1257.9,14
5,3101.94,17
2,2654.93,14
0,1417.88,9
2,1572.65,7
4,1438.13,10
2,2404.82,12
5,3192.18,19
5,807.79,4
0,1466.04,8
0,1083.74,5
3,1094.7,8
7,2849.81,15
3,1195.35,8
5,2351.4,15
4,2101.44,14
0,521.96,4
0,1534.47,12
0,1089.42,7
7,2531.68,18
5,1693.5,8
5,1059.82,8
5,604.06,7
3,624.44,6
5,2446.52,13
2,1490.26,15
7,1310.05,7
2,1857.24,15
7,5182.2,54
1,1079.69,10
3,2222.2,10
3,1098.6,8
2,1421.03,7
0,1505.52,8
3,1030.44,7
7,1242.07,7
4,1296.92,8
5,1301.54,6
5,2322.63,18
0,1258.82,11
7,799,6
5,851.41,5
7,696.68,7
5,2401.43,15
4,4966.53,29
2,1427.7,21
0,625.11,6
5,1613.22,9
0,561.4,5
5,2198.15,20
0,919.33,7
3,1645.19,8
2,397.06,3
7,924.01,4
2,1485,7
3,2313.04,12
3,5186.05,27
5,1242.43,7
7,788.02,3
7,1079.3,7
4,851.22,7
5,1872.97,14
2,2051.49,12
2,2777.12,15
3,513.04,5
0,594.37,6
1,2750.64,16
5,508.5,4
1,392.15,3
4,726,5
0,2260.63,18
5,820.7,9
6,1321.58,11
5,1872.94,11
1,1238.4,8
7,1931.41,14
3,847.27,8
5,953.2,8
5,3456.24,73
3,4054.47,25
0,595.06,4
3,1490.56,7
5,455.5,5
0,1913.95,6
5,1339.67,16
5,619.66,5
5,1505.36,7
7,1083.85,4
5,2889.38,14
2,1360.4,7
5,1696.25,13
0,1581.85,9
1,3329.68,11
4,784.19,4
3,2133.9,10
7,989.44,5
0,3415.73,20
3,1298.27,5
5,4996.23,47
7,972.62,5
5,2109.42,14
4,1902.39,12
5,2682.31,21
7,1268.72,7
5,2678.54,23
3,2364.99,17
6,1089.61,11
1,1316.49,12
5,1605.31,17
1,5385.93,40
1,972.55,8
1,624.66,6
0,966.63,8
0,802.98,4
0,1867.83,11
1,1713.04,18
3,963.58,11
5,1754.86,26
3,1136.83,8
5,948.77,16
2,569.05,5
5,1737.81,15
4,914.34,4
7,3564.79,14
0,3038.7,26
3,702.17,7
0,788.88,4
1,1011.98,8
5,4824.57,31
2,3438.22,25
5,6081.62,31
2,1376.5,8
2,7985,38
2,3511.49,26
5,2467.97,16
3,1582.17,11
4,1299.52,6
2,1292.24,8
3,638.68,6
1,1974.29,12
7,503.43,3
0,1378.65,9
0,653.56,9
7,5528.04,33
5,4673.51,34
5,169.42,54
7,459.55,3
3,1311.37,11
0,843.58,7
0,1640.95,15
6,1779.7,12
0,1248.39,8
4,3790.29,28
0,4565.54,25
2,2101.64,17
0,693.58,5
1,1611.32,7
3,2182.76,9
5,3078.68,24
0,5261.27,56
5,1156.15,25
0,846.59,5
0,735.98,10
0,676.95,16
7,1593.14,8
0,1471.33,16
6,856.35,8
4,928.26,7
0,1084.84,7
3,1234.39,7
0,2491.47,18
4,3552.31,22
3,851.86,7
7,1065.23,10
5,804.75,7
1,1021.47,11
5,1325.53,15
0,696.21,6
7,125.6,11
1,1933.33,41
0,1690.12,11
3,1842.8,11
2,503.49,5
0,788.51,7
0,1542.97,20
5,1402.91,4
3,948.6,7
3,561.55,4
5,948.76,9
5,960.75,5
5,1407.63,11
0,2428.75,21
5,914.36,7
5,798.47,4
0,967.79,6
0,1306.11,14
2,1403.9,12
7,1200.36,8
1,1838.33,10
5,1839.58,19
5,1214.31,12
0,5193.14,34
0,672.72,4
4,841.99,5
7,731.21,5
2,353.02,4
4,1885.33,23
7,513.36,14
5,1321.45,11
5,2027.69,14
1,647.5,5
5,3533.81,22
3,980.67,7
6,919.91,10
0,1523.73,10
7,875.76,6
5,1117.9,7
4,1727.33,11
7,1616.5,7
7,1699.1,10
1,459.35,5
5,2751.67,18
5,2642.37,14
0,574.95,7
2,2317.59,12
2,1203.95,10
0,631.24,7
4,1878.14,35
4,1176.3,9
4,1606.85,21
7,1311.82,6
4,420.69,5
3,977.16,9
0,1035.54,7
2,9403.17,83
1,2884.95,18
6,1266.39,19
4,2367.94,19
0,1208.99,9
2,1190.08,7
0,1583.09,8
2,802.76,4
7,624.33,7
4,2995,19
0,1080.54,7
4,842.55,5
3,754.57,4
0,1248.1,29
5,1456.59,29
2,918.66,5
3,1853.87,33
3,3217.05,31
7,1030.37,6
3,1210.47,29
1,2545.91,18
0,2522.37,19
5,169.48,60
3,1265.41,17
5,852.06,18
7,808.34,9
5,1200.54,8
0,3996.5,29
0,1195.9,11
2,581.06,5
0,2317.79,24
2,1160,9
5,2355.84,13
5,1765.78,10
3,2773.22,16
0,1719.74,16
5,503.33,4
2,624.49,4
5,1181.54,23
4,1209.99,6
2,1382.37,10
5,1568.43,15
1,750.69,7
7,1315.89,8
0,628.89,4
2,241.52,25
0,1844.25,11
1,280.69,29
7,1312.08,12
2,396.97,5
5,7314.81,38
7,851.83,6
1,2728.39,15
0,1974.53,13
7,2227.4,11
2,2709.14,7
0,2575.54,24
7,2787.79,24
3,392.05,17
7,846.45,10
0,2548.4,19
6,1519.47,9
3,1359.85,6
5,1137.51,8
0,1422.08,8
5,2046.74,13
2,1325.1,7
0,411.36,5
7,1698.55,11
7,948.15,10
0,570.88,3
5,1142.56,7
0,344.03,6
7,1358.77,9
4,3738.21,22
7,619.11,5
4,2158.65,12
0,236.88,57
7,1364.99,13
4,1084.83,9
0,1832.57,17
5,396.66,7
7,1645.65,12
6,963.61,9
3,1475.73,8
7,1251.71,4
1,1075.53,13
5,1722.31,9
0,934.22,7
1,2259.9,14
0,1586.36,9
5,2394.43,22
0,691.91,4
4,1935.37,10
5,3611.66,28
0,4057.29,25
3,1191.52,9
7,3155.65,24
4,691.73,5
3,673.1,5
2,682.72,5
0,798.07,4
3,2415.19,26
3,1011.84,13
2,3209.03,23
7,1322.92,10
0,1069.93,8
7,701.12,3
5,571.22,6
3,1480.89,20
5,1960.65,12
2,227.45,6
4,3117.54,19
2,410.72,5
1,968.04,5
4,1016.23,6
5,1016.35,5
1,928.47,5
4,2328.36,12
5,7825.82,54
0,1542.93,7
3,987.18,9
7,1598.1,16
0,749.5,6
5,1084.52,14
5,1764.14,14
7,1780.99,13
5,1417.5,9
5,2153.94,21
3,6246.85,29
0,1035.2,7
5,798.28,5
7,348.19,10
4,1583.22,18
0,1356.45,9
2,1079.15,4
2,1079.86,5
0,1024.3,7
0,3261.77,19
5,976.18,9
1,1712.09,9
5,900.44,4
2,397.08,4
3,2200.89,15
3,1882.14,9
7,1531.32,8
4,958.04,10
6,397.32,4
2,1751.94,11
7,895.39,4
1,2163.45,21
4,991.73,14
0,1679.48,12
3,581.2,4
4,1901.25,19
2,1494.95,8
4,1123.56,12
5,2156.52,19
0,5446.15,9
2,784.11,9
2,2444.94,27
5,1606.73,12
0,847.29,9
2,1748.26,16
2,1528.81,9
2,1543.27,8
4,2409.93,14
0,2307.23,97
4,280.73,5
5,4091.99,26
5,522.47,5
7,566.84,6
7,3107.22,21
5,2354.03,11
2,1306.34,8
4,3465.97,31
2,1563.29,10
5,1921.21,9
3,343.81,4
5,1695.67,26
0,1108.49,10
7,570.34,65
4,460.14,4
7,7338.94,74
0,1839.14,9
5,4123.42,25
1,1322.81,10
4,4063.46,13
0,880.42,9
0,842.21,5
2,1612.41,14
5,842.33,6
0,909.26,5
7,4117.59,18
0,799.78,8
0,2845.9,15
3,227.42,3
7,973.07,9
5,1543.65,9
0,571.22,7
2,902.22,8
3,3129.53,22
5,1094.74,13
5,740.77,7
2,2253.71,19
3,2710.44,24
5,4184.61,21
0,478.77,6
2,2185.21,23
0,1858.48,10
5,923.64,5
7,953.56,9
3,910.03,8
2,1282.42,9
2,799.15,9
0,4153.92,68
2,508.36,10
2,677.42,8
4,870.78,7
0,1846.95,15
6,3333.37,21
5,1014.35,5
3,788.14,7
5,1919.89,8
5,1379.72,23
0,790.91,16
7,1853.6,11
2,2409.95,18
0,701.55,9
2,988.55,6
7,1509.95,10
3,1727.93,14
5,2280.52,13
4,730.7,3
0,2632.34,15
5,1122.92,11
0,1787.54,15
5,1078.97,10
0,1305.97,9
0,802.69,7
5,3146.69,23
0,1246.75,9
5,764.76,6
3,1243.93,8
0,2375.32,17
0,2708.44,61
0,643.29,9
7,784.3,10
5,2838.58,81
5,962.78,7
2,1088.52,5
5,3291.44,19
4,904.78,8
5,566.04,4
3,3157.79,19
2,1423.63,18
0,1302.98,8
1,963.2,8
2,2473.15,16
3,924.31,7
7,2414.23,20
0,4778.17,20
2,861.51,6
2,986.81,8
3,1697.75,18
5,406.1,3
5,2096.32,9
5,343.7,5
0,1564.62,8
0,581.2,6
0,880.07,19
0,3747.25,71
0,687.11,11
0,1785.92,17
5,962.98,7
0,1461.36,7
5,1605.38,12
2,962.53,8
0,1098.14,12
0,503.39,3
5,1553.01,9
7,1204.32,6
5,788.9,6
5,730.8,3
7,1843.85,8
5,1698.32,11
5,280.81,4
4,648.2,3
5,1445.99,13
0,1020.93,7
6,566.7,5
0,677.71,5
3,1654.8,7
3,2300.03,69
2,914.08,20
3,1228.86,16
1,1934.7,12
1,1769.65,8
7,3362.97,28
3,1769.05,8
0,963.17,22
7,653.22,5
5,2155.77,22
6,1016.11,5
1,1945.14,13
0,1311.29,10
0,1858.76,23
0,677.94,4
3,928.87,9
1,1532.67,10
0,1307.52,9
3,967.9,6
7,3471.95,21
2,4706.02,29
5,1137.97,10
1,687.24,10
2,614.81,3
5,967.04,4
0,1635.83,8
5,992.09,9
7,889.55,4
0,3531.71,15
3,1145.68,12
7,1533.7,11
5,1132.89,8
2,1122.91,6
0,1122.58,9
4,1475.65,8
1,397.06,5
4,397.23,3
4,953.39,6
5,1128.03,8
0,1141.86,10
0,1282.73,6
0,619.61,4
0,397.19,3
6,2373.81,21
1,4552.29,53
5,856.88,19
5,1632.09,20
0,1522.38,7
5,1107.61,6
7,1655.04,10
7,900.1,7
0,672.46,4
0,1432.03,8
0,566.32,5
0,623.72,6
5,793.51,5
5,566.85,4
4,6377.73,28
0,1296.6,26
3,527.1,13
7,798.47,6
0,5150.86,24
0,798.59,7
2,2323.16,20
3,1564.76,11
0,1186.19,11
2,1311.12,7
3,406.35,3
3,748.54,16
0,2650.31,18
5,2066.88,18
3,169.44,40
0,730.52,4
5,902.73,21
1,837.4,5
0,1457.17,8
7,798.3,10
5,3192.56,19
3,2300.73,18
5,1515.2,5
3,789.28,4
5,1543.39,11
4,2105.8,12
5,5376.49,69
3,1152.03,6
5,1815.06,10
5,1669.33,6
3,2425.41,18
0,905.73,8
4,1452.12,21
0,3382.21,18
1,1471.55,11
3,338.85,4
2,638.77,7
0,1483.41,9
2,619.55,5
0,1093.43,12
5,507.88,117
7,3609.86,22
2,638.75,5
2,1599.93,10
3,8365.16,45
6,629.23,12
5,1345.69,34
4,1253.46,11
3,1568.39,11
7,2645.68,12
4,1136.96,8
3,1500.18,13
0,1181.34,12
7,1314.45,5
0,1185.13,9
7,905.19,5
0,1868.89,15
0,2438.87,14
2,1025.53,7
0,1558.48,11
5,726.13,4
0,1539.06,7
7,1021.12,5
7,2603.6,16
2,816.76,9
0,927.4,9
4,625.03,4
0,677.6,5
4,857.59,4
5,973.76,8
7,3808.53,18
7,1849.13,10
4,2559.02,20
3,1318.86,13
0,9502.54,59
4,1530.3,15
3,2772.33,14
3,5037.39,38
5,3197.76,31
3,557.45,8
5,125.54,4
7,1311.16,9
3,469.11,10
5,1132.29,19
3,2774,20
2,1751.15,18
3,1031.03,8
2,1668.99,10
0,789.32,7
4,3657.97,28
4,584.96,23
3,473.84,5
0,2297.02,16
0,1208.59,11
1,1309.93,7
5,1642,13
0,895.26,11
7,1334.65,11
1,784.19,3
4,5812.82,55
7,803.46,5
7,2932.86,16
5,918.49,7
2,1345.27,7
5,905.15,6
4,712.35,5
7,1475.51,6
5,2123.67,13
5,1849.22,9
4,870.57,8
4,1182.89,8
3,2712.1,17
4,1533.86,8
0,508.38,4
5,1068.46,24
0,2467.76,9
0,812.79,12
3,2095.31,16
0,1530.14,10
3,8375.81,44
7,4879.35,45
0,731.12,3
4,2549.1,15
4,4445.43,27
4,285.87,3
7,10236.88,87
5,865.54,7
5,1805.13,12
0,1719.85,8
5,614.62,3
0,1064.89,5
3,1413.27,6
5,5125.97,35
7,3124.37,16
7,2553.41,14
0,968.63,9
5,1087.82,9
0,641.17,10
5,455.22,3
4,1479.64,13
2,299.88,3
7,560.32,7
0,847.12,4
7,1373.36,12
5,745.5,4
7,1075.19,8
0,1488.07,13
5,871.22,4
2,1452.07,8
7,1156.16,8
3,1122.98,8
4,614.61,9
2,1103.17,14
2,2332.21,15
7,634.13,4
3,953.4,6
0,2695.4,12
7,3497.87,21
2,687.11,4
5,6409.39,45
0,3757.39,22
7,1456.26,11
7,3256.08,45
6,910.05,16
4,1548.14,10
0,348.21,4
7,1484.6,11
7,2276.28,18
0,817.14,6
1,4482.96,33
2,1625.54,11
4,2322.03,15
0,642.3,10
7,2364.63,14
5,2364.51,13
5,1416.09,18
3,1206.43,11
5,1568.49,11
3,3869.69,29
3,6830.08,35
7,1689.18,13
0,787.11,4
5,2766.28,35
5,691.94,8
7,6636.08,53
0,857.23,7
0,1702.47,13
1,634.14,4
0,1515.1,9
5,10300.95,50
0,619.47,4
5,2202.04,23
7,619.92,5
7,648.34,4
0,997.81,11
5,5349.14,29
5,855.75,10
3,965.79,6
4,1403.13,11
