class,DS,DU
4,402.58,4
7,997.4,5
7,1431.71,7
4,406.28,3
5,1923.83,11
0,1941.16,10
0,460.13,3
0,1069.39,7
5,1292.5,7
0,4811.21,26
0,2376.96,13
5,1224.62,16
0,700.45,10
4,749.15,7
3,798.75,3
5,1205.48,12
0,4034.06,28
4,1991.19,11
3,682.25,8
2,3187.97,18
0,1606.45,7
0,1631.87,9
5,1667.11,7
7,798.11,4
5,1132.96,6
3,1928.56,11
5,909.65,3
0,3109.64,14
4,619.33,4
7,890.1,10
4,683.25,4
7,2361.49,16
4,754.74,4
7,4305.89,29
5,589.84,4
7,975.94,6
4,2749.86,19
5,1748.94,12
5,624.22,5
0,2658.53,9
0,791.85,4
0,2027.96,10
3,1180.77,9
5,3407.77,16
0,416.03,5
0,2855.2,19
7,580.52,3
4,1229.59,11
3,1021.5,8
7,1074.46,8
3,784.03,4
5,1358.7,8
2,682.68,4
0,2409.15,16
4,1674.52,7
3,3209.65,48
5,1199.11,6
2,450.16,32
4,807.71,5
0,948.52,5
2,339.04,10
4,1461.97,7
0,701.52,3
2,1795.33,10
0,1427.22,7
0,614.77,3
0,2329.28,16
5,1532.24,11
7,1507.55,10
0,794.27,3
5,2047.95,7
7,343.6,4
0,634.4,4
0,1234.14,7
4,1688.7,11
2,508.73,3
5,1971.8,16
4,691.51,3
5,1298.12,5
4,1522.32,11
5,508,4
5,2983.35,18
5,1248.44,6
7,841.98,5
5,793.86,4
2,5119.53,39
5,1095.2,6
0,396.96,6
4,672.76,3
3,1475.76,8
7,2293.83,20
4,900.23,6
7,280.78,5
2,2791.18,41
0,991,8
2,740.31,5
0,1982.11,11
1,928.75,6
7,1689.13,8
7,4005.95,21
5,1872.05,11
0,357.54,3
7,1954.92,17
5,3094.68,13
5,1039.51,7
5,697.48,6
3,1271.64,6
7,1579.49,12
5,2627.98,8
7,754.76,7
0,1665.53,14
4,4244.21,24
4,869.73,7
3,517.58,3
7,7164.7,42
5,682.15,6
2,348.26,6
0,672.72,4
4,125.58,11
0,763.69,6
0,1137.41,8
0,914.44,8
5,1378.09,16
7,1859.05,9
3,2090.41,8
5,1093.26,7
0,803.56,6
5,1692.74,8
5,1524.9,13
0,561.15,3
7,909.95,11
0,920.91,5
4,1128.26,8
6,743.97,24
1,1673.8,10
6,1326.85,8
5,1693.67,8
0,450.15,4
2,745.11,5
4,726.05,8
7,1717.33,9
3,6968.31,109
5,909.77,6
7,5332.31,28
3,1437.2,16
2,1725.03,9
4,629.41,6
5,623.19,6
7,856.85,4
5,809.04,5
0,1270.94,6
0,637.69,8
0,1031.02,7
0,561.49,3
5,2706.96,24
5,6126.64,24
5,1663.62,12
0,2491.99,14
0,2172.18,13
3,1070.29,7
3,5356.34,41
2,1409.33,8
5,3319.74,15
0,1793.46,12
4,895.43,6
7,2031.93,12
7,3920.16,23
0,1316.33,6
4,392.11,4
7,1034.54,7
0,2414.02,12
0,628.93,3
3,2532.75,17
5,879.98,7
0,1821.77,8
7,1787.39,15
4,1350.08,6
3,1060,4
5,784.36,8
5,589.44,3
3,1262.55,9
5,1423.33,8
4,1639.72,11
1,1762.75,12
5,1741.15,11
3,300.03,4
4,851.72,9
4,3316.72,21
7,1079.88,10
3,633.76,4
7,1515.24,12
0,169.49,7
5,736.02,5
0,842.53,18
5,3070.17,28
5,1656.58,12
0,1171.5,7
2,1019.19,31
4,1138.31,7
7,3037.23,23
3,2095.18,13
0,3474.35,36
3,1311.71,11
0,718.79,5
0,1283.5,7
3,1079.77,7
5,512.49,4
7,1436.44,7
5,3058.38,11
0,798.45,8
7,928.57,6
7,791.49,3
1,1024.07,6
2,343.77,4
7,3054.05,16
0,672.89,5
0,904.72,7
0,1025.1,5
7,1447.72,27
7,1970.06,12
4,800.32,7
5,1775.59,16
0,1403.4,5
3,2345.71,10
7,1189.77,11
1,4541.72,34
0,2811.42,15
0,1369.83,10
4,1655.33,12
5,2220.56,21
0,6504.76,44
3,1794.65,20
0,856.14,5
7,2883.58,16
7,1628.81,15
0,12770.21,86
5,2636.76,20
0,1562.99,8
0,513.08,6
2,1554.33,13
2,3188.8,17
5,1127.48,41
5,847.68,6
0,566.49,3
5,285.57,4
2,846.78,4
1,503.5,5
5,929.43,6
6,2827.86,26
5,1904.86,10
4,959,7
3,863.66,5
4,1160.23,7
7,1994.54,12
4,1306.47,14
3,2685.73,19
0,838.55,7
2,2013.34,11
7,745.21,5
0,3834.26,30
5,1195.12,6
1,2326.22,18
6,910.16,8
3,280.63,8
3,4897.49,46
0,978.43,8
0,1921.56,18
7,5340.16,45
0,794.06,4
2,1137.74,6
5,2123.74,12
0,8095.74,205
2,1224.28,9
5,1817.43,13
0,913.81,23
4,1199.73,8
2,1726.24,12
7,1631.44,13
3,4362.84,88
1,1079.14,10
7,1567.96,8
3,2499.32,15
3,169.46,3
4,1252.14,9
2,2928.09,20
2,1139.67,7
2,1354.88,6
5,1897.7,9
2,169.55,3
0,475.65,3
2,677.99,6
4,3663.35,16
0,629.13,4
4,738.41,4
3,995.88,11
5,1630.39,7
0,4602.83,24
6,1065.13,9
3,1353.72,8
3,1195.96,9
5,2550.54,14
3,2825.18,66
5,1749.92,9
4,3321.79,16
5,1040.19,8
3,638.45,6
3,2255.07,16
1,1364.23,10
1,1118.17,24
2,3943.26,19
0,1092.57,9
6,1140.12,8
5,730.76,8
3,2494.75,16
0,4070.1,30
7,169.38,13
3,513.69,4
0,1201.44,10
7,5506.46,62
4,2839.98,26
3,1369.18,11
5,3181.22,21
4,344.24,11
4,4643.85,22
5,1320.72,11
0,3413.96,14
2,861.53,8
4,1320.9,9
2,2852.54,17
5,3567.73,16
4,3164.26,15
5,634.1,4
0,1461.66,8
2,758.96,4
0,900.49,5
5,619.83,4
7,454.55,5
5,1977.23,11
6,1645.69,12
0,1413.78,8
0,2757.89,16
3,2798.91,18
4,1722.75,10
5,1873.56,19
4,6004.95,60
0,562.96,4
6,3319.38,30
7,1843.69,13
0,612.95,7
7,1204.53,11
1,1299.73,8
0,2032.4,10
4,1819.04,11
5,1029.94,21
7,1760.95,12
5,2299.23,23
0,677.57,5
7,687.32,7
5,401.58,3
5,1142.92,34
0,1644.49,10
0,1378.56,8
0,2292.56,16
5,508.36,7
7,4933.04,29
3,1809.31,7
7,934.5,8
4,1281.91,10
2,1287.25,10
2,1587.74,11
7,851.64,6
7,450.22,3
3,1040.95,5
4,2032.3,11
5,794.71,6
0,1596.69,9
5,957.85,7
5,2704.87,34
5,796.8,8
4,1252.76,17
0,1848.55,12
2,1475.67,8
7,619.9,5
7,227.03,23
3,1104.04,6
3,753.86,5
5,978.05,9
0,2630.67,15
3,1155.72,8
3,804.06,12
0,227.46,11
5,1674.49,9
5,3224.01,25
3,227.69,8
4,1118.31,5
7,1713.83,13
7,991.86,8
5,978.53,8
0,1866.99,11
5,2571.97,18
5,3654.64,16
7,2313.82,15
3,1711.97,12
5,1069.9,9
3,745.04,7
5,1241.02,5
4,4100.46,48
2,3234.4,37
5,3248.09,18
7,7014.95,27
7,1020.02,8
5,2157.61,15
0,725.91,5
5,619.7,6
1,705.45,7
7,2066.49,12
4,2109.73,11
3,6589.8,50
5,12876.33,91
0,1494.92,10
4,628.93,4
7,900.48,5
2,2161.49,109
1,3589.85,24
5,2360.04,12
0,803.56,8
4,1185.41,7
0,1079.84,7
4,1645.56,10
2,1093.52,14
0,2827.3,23
2,1014.2,5
3,904.82,8
5,2966.26,27
5,1919.88,28
5,1117.88,7
7,1092.66,7
7,575.75,10
1,865.52,10
0,691.15,19
4,1110.34,10
5,3354.79,32
7,908.9,8
5,700.09,5
2,1873.4,16
5,1133.73,10
2,2636.58,27
4,2737.26,14
7,3911.92,78
0,846.79,17
7,1246.42,11
6,1359.66,9
7,985.33,14
3,736.03,4
0,7064.37,18
5,1767.21,16
5,1349.91,9
4,1176.51,16
5,948.56,3
2,2235.79,45
7,2161.89,18
5,789.23,7
3,2172.75,18
1,745.09,4
1,1074.19,14
7,566.66,3
5,1629.62,15
2,454.51,5
4,1920.98,12
5,1393.08,7
7,450.21,5
7,863.7,4
7,1417.67,7
0,7490.55,33
1,1309.18,11
5,3159.43,17
0,1911.84,12
0,798.53,6
3,4437.48,17
5,953.48,15
7,1436.94,11
5,227.38,3
5,4154.5,31
0,450.3,3
4,1213.97,7
0,508.25,6
2,2075.2,17
5,3526.62,17
5,681.72,8
