class,DU,DS
5,60,766.433485
3,11,1071.23031
2,20,220.555279
0,8,1255.879132
5,17,2002.892686
7,26,2728.503211
3,13,931.840199
5,11,1495.801076
2,57,4877.733854
2,8,1011.147613
5,15,1321.803744
0,5,730.731863
5,17,2109.051599
5,25,2759.60764
5,6,453.600682
7,25,3247.402506
4,25,1836.833713
7,12,1011.877529
4,5,241.349449
0,10,827.036929
5,7,1462.319069
5,84,383.336434
5,12,2032.832113
7,11,863.723755
4,14,2065.718609
1,10,1968.6199
4,11,1728.054502
0,9,1099.203366
5,13,2146.595714
7,18,3327.522051
3,13,1814.399285
0,11,146.202144
0,17,2104.261062
2,17,2638.697707
7,14,1539.017045
0,11,1087.540552
5,19,3132.286321
4,15,1560.01214
0,5,672.027694
3,3,220.453535
7,27,2031.767233
7,10,1112.824697
1,19,1630.670315
0,16,3105.47038
3,11,1255.389976
0,14,2592.194229
2,9,1413.126944
0,15,1951.378953
5,9,977.249512
3,16,1812.622836
4,6,650.549746
7,3,505.704059
2,6,931.852091
7,27,3954.706825
3,16,2203.542259
5,3,489.184393
3,8,525.054046
0,9,1345.549759
3,45,7222.71298
3,28,2563.828886
7,9,1021.641582
1,15,1447.244357
2,6,672.947532
0,8,1247.323854
4,9,881.506768
7,20,2496.206088
6,7,745.504931
7,4,691.977182
0,21,2638.619203
3,9,1144.993629
5,13,1309.450048
6,6,963.701025
3,20,2004.798502
4,12,2288.327233
0,10,396.541391
3,7,1053.168068
2,18,2066.018307
0,11,942.016085
4,8,1050.226218
5,16,2163.047381
7,8,1247.240393
7,8,1563.879831
0,3,397.134337
0,11,1401.643387
5,14,1801.102006
4,5,623.610412
2,5,724.062552
2,13,2167.8643
2,8,931.921789
0,6,453.598387
0,7,623.610412
0,5,793.302635
4,11,1360.852767
5,8,1052.882134
0,7,1200.119337
0,5,691.968115
0,16,2323.549538
0,3,661.298467
7,16,2414.832711
1,5,586.184773
1,12,1522.940487
7,9,1087.562726
2,8,1337.15758
5,26,3931.049586
3,14,2156.730847
0,6,959.27695
4,4,397.065164
0,10,781.94001
5,14,1315.490548
3,9,580.92867
7,8,827.089765
5,6,702.485573
5,7,1102.422961
4,12,1829.688801
5,6,676.374329
0,7,800.242533
0,11,1555.141409
5,10,1444.74144
5,7,769.464736
0,64,7228.77102
4,58,2211.127522
2,4,702.698687
3,11,2163.930893
0,8,959.077677
5,58,3770.757667
5,8,1124.988727
5,11,1085.518056
0,4,438.610274
2,12,1517.911101
0,13,2041.211143
2,7,766.738564
3,13,1784.184802
7,6,438.450668
3,11,942.145091
1,5,582.006008
2,46,1654.01912
7,19,1906.913249
5,6,818.055375
7,14,2047.862413
3,6,586.216729
5,10,1088.287762
5,11,724.002423
5,6,582.325159
7,10,691.964487
5,9,1068.125047
7,15,1148.169236
1,14,675.972833
0,6,766.597591
3,31,4436.648414
0,7,584.494335
0,5,675.841164
0,8,1124.986181
5,24,4553.892765
2,5,525.575812
0,11,1053.135086
0,6,438.723545
5,29,4901.615518
5,16,2314.932176
2,8,1084.420931
5,9,438.442968
2,30,4036.013287
5,18,1930.673125
3,18,1821.61859
5,15,2246.654206
0,10,527.794469
0,21,2441.064449
7,8,744.803289
0,4,584.602173
5,9,1169.563348
5,31,4208.189837
0,7,1068.176521
7,8,1234.242306
0,12,1497.751429
2,8,866.616244
4,8,881.610417
5,12,1051.368995
3,7,1087.573812
5,13,1679.497245
5,12,941.958011
0,14,799.144854
5,8,703.469633
2,8,799.123155
3,17,1206.696224
7,49,881.727836
2,16,1068.014241
7,14,2033.270258
3,16,1242.77067
4,18,482.6588
3,19,2194.330268
7,12,1234.396452
4,35,3306.694211
6,23,1346.817201
5,9,1144.921126
7,35,3846.745124
5,16,1751.24065
4,14,1916.588841
6,8,963.610585
0,8,796.106725
3,19,2219.43602
5,20,453.600682
5,62,7222.697415
7,2,306.471718
7,22,2485.267562
4,10,1529.366835
2,41,2905.537856
5,32,4325.769569
0,17,1345.179611
6,10,397.115126
1,10,963.721888
5,9,1728.927179
5,6,769.838693
0,10,1252.661001
3,16,3110.231524
0,7,978.188189
0,12,1022.862839
0,10,800.242533
7,15,2070.671892
5,59,482.628882
3,15,723.3393
0,10,795.982966
6,17,2259.348725
3,8,864.46794
4,22,1666.229921
5,51,7878.513438
3,13,867.525718
0,23,2818.458464
5,10,1309.158176
5,78,489.213669
7,53,241.364015
0,65,10303.6239
7,16,796.481749
4,12,886.069781
2,8,1053.365897
5,13,1055.064043
0,13,1665.837098
5,6,723.301551
5,28,2688.122527
7,11,1156.604969
2,8,864.969255
2,9,672.027177
3,11,1303.60862
5,29,2056.432667
0,41,5846.592698
3,22,1269.832659
7,7,864.629253
7,6,886.19187
5,5,676.118279
4,12,1228.99216
7,17,2661.467183
5,11,931.86081
5,6,440.781026
4,64,396.78427
0,8,691.980355
7,14,1281.146831
7,15,2336.108384
0,13,1438.107523
5,88,12029.93411
0,3,361.674368
4,53,7244.293314
1,8,1100.661812
0,5,766.816576
5,6,781.93972
7,15,2268.081503
1,24,3046.723394
5,6,672.030513
4,62,907.1962
3,10,1333.900279
5,31,220.42937
0,16,2108.082078
5,58,146.130968
2,7,383.325003
3,6,818.251182
5,27,3862.022151
5,10,1257.115637
0,6,623.716006
7,29,146.188692
0,3,241.328671
0,8,613.550724
7,4,361.693238
2,11,1144.92815
2,74,146.112343
5,11,1021.174891
5,22,1444.502229
5,12,799.152442
7,5,1055.189937
7,6,799.159306
4,6,770.553376
7,4,488.85714
0,9,525.231174
2,9,796.324164
0,5,963.690592
4,3,345.978728
7,5,505.739967
3,7,1068.222813
1,7,885.33623
5,9,796.017115
1,5,660.816229
7,20,1636.019854
7,9,1812.279768
5,4,702.578833
7,13,1445.263337
5,5,586.187057
4,7,1172.478498
5,3,306.765581
0,7,864.569365
5,5,505.931297
7,20,730.96268
0,10,724.050532
0,30,3407.104203
0,54,796.30712
2,10,1169.839902
7,6,527.626422
3,4,793.564687
0,18,4019.768256
4,31,4054.110855
4,10,453.607994
4,23,831.826923
3,8,907.219713
2,5,146.112343
5,7,1054.975853
7,5,793.803399
7,19,1718.976572
0,10,691.982621
0,13,1071.111603
7,39,5075.028913
6,15,2812.490272
3,23,1635.362722
5,29,1998.00057
0,19,1630.229593
5,16,1662.413674
7,18,2897.163186
6,14,2013.643391
4,5,584.781675
0,4,623.679524
3,9,876.968689
0,5,525.612048
4,13,691.96358
7,8,612.946238
7,110,2687.155547
4,16,1970.218242
3,10,691.969022
5,10,1087.573812
7,21,2058.545985
5,12,1401.584121
4,39,2794.871041
3,15,2322.309195
5,13,1112.815488
4,19,2121.7712
0,11,965.449645
1,32,4340.850563
5,21,2555.348804
4,6,793.156085
4,7,796.622181
1,7,1161.182546
0,52,5991.466174
3,8,827.149946
3,18,2268.080072
5,33,362.083939
5,122,9654.782894
5,7,1011.889477
1,33,3833.997264
5,18,1776.524523
4,29,3663.751093
7,8,383.31071
2,16,2452.723335
0,4,361.745111
5,18,2716.134832
7,16,1762.847637
0,13,1677.75345
2,7,769.440849
0,34,3300.40062
3,19,1839.670962
7,29,4162.854376
0,28,799.192506
5,26,2098.016479
7,9,1200.56803
5,15,919.810085
5,8,292.270282
2,14,919.826879
0,52,6910.713731
5,10,1223.327659
1,13,1490.427758
7,19,2015.413455
5,7,702.45892
0,3,438.479534
1,7,505.680115
7,9,724.066923
5,9,796.515803
7,19,2014.781591
5,20,1677.067282
2,10,730.863347
0,12,1845.798395
5,44,1356.465209
0,6,527.552486
5,23,438.575686
5,6,884.811198
1,28,220.284189
6,19,2532.875456
5,22,2542.876119
1,36,489.384346
5,5,745.079185
5,10,770.069182
3,26,1689.390022
3,115,7956.991457
3,8,907.1962
0,10,1347.060242
5,14,292.254874
5,11,1011.165587
5,8,1148.457034
7,3,220.323973
5,19,2743.16033
7,20,2533.685512
4,7,1011.015758
0,13,1749.965097
5,11,1303.996034
0,34,4546.820776
5,74,4132.319532
5,31,3153.97059
3,7,482.711282
3,11,745.373533
3,59,1190.930175
7,25,4295.740605
5,49,2011.1866
4,58,5525.620174
1,18,2455.905715
5,19,2109.051599
1,12,584.761175
3,34,4103.514179
5,32,2690.419992
7,18,1803.144363
5,6,525.412651
5,4,799.149913
0,18,2638.391447
5,24,2548.928397
0,12,796.226136
7,13,963.718411
2,11,1622.422755
2,14,488.627204
5,3,525.294713
0,13,1256.12566
1,28,1462.207556
4,9,586.130482
7,6,965.193964
7,30,5080.758986
0,20,3127.759709
0,40,4934.236863
7,11,1105.922472
3,12,781.939926
3,30,438.437193
7,8,438.365935
1,70,4691.638893
3,6,612.772396
4,5,440.96056
5,40,3830.720623
0,16,1951.801641
3,14,2497.823598
5,10,907.234606
0,4,586.165925
7,19,2677.075836
5,7,958.628893
7,24,2110.46939
0,19,2322.496079
3,4,482.734583
5,22,1112.816606
7,6,795.987235
1,9,910.70121
5,56,292.308785
1,11,1277.808026
7,146,7841.131914
7,10,1149.833307
5,7,623.610412
0,45,4050.921562
5,20,383.397351
0,6,672.029878
3,19,2243.129147
5,8,799.200076
0,7,1234.397552
5,8,1316.123767
4,17,2199.551755
2,6,864.474594
1,7,867.092854
7,8,723.230751
5,9,1084.732802
0,8,1337.368037
3,4,691.999382
5,10,1124.99314
0,3,584.571373
2,8,959.744789
7,59,6173.589998
3,6,703.057886
4,9,793.46452
0,8,958.768577
3,3,292.335722
7,14,766.589965
4,10,672.756168
0,13,1523.203797
0,20,1809.302715
5,37,4423.915371
1,43,1746.674215
0,3,361.780462
1,14,1516.743886
0,6,1054.901071
4,12,1927.537638
7,14,1592.303025
5,5,675.709423
7,5,907.245765
2,12,1677.049581
0,8,827.027653
3,22,3542.333229
4,30,220.405195
5,7,907.20538
1,8,1007.069109
5,46,2935.050865
5,24,2219.519751
3,4,306.776759
0,12,1563.879687
0,15,1445.099122
6,6,730.978694
5,35,3301.168308
2,5,562.50009
0,13,1446.779906
7,5,383.24586
0,14,1314.897977
0,23,965.553453
5,2,292.26643
7,4,306.606161
5,12,1469.435622
0,5,438.439118
2,10,1443.010708
3,27,723.221309
3,13,506.029835
1,9,1012.241676
5,7,1006.873475
7,10,1050.707384
7,5,623.580397
4,6,453.609284
4,15,1918.882525
0,9,1575.856911
0,6,650.622368
3,8,867.039354
5,27,4271.853305
6,6,1011.309338
5,12,1050.089914
4,9,1112.824267
2,12,1796.081189
5,6,723.36289
5,19,1598.35363
0,40,2289.593592
7,32,1710.141616
5,13,1144.930491
1,12,1555.165863
3,11,1405.316989
4,11,864.644107
3,47,220.339534
2,5,525.267485
5,18,919.381518
7,28,1150.052155
0,21,2159.749493
1,5,438.494926
5,8,1015.870286
2,5,800.265841
0,11,876.968689
0,14,1206.561253
1,10,1068.163656
7,13,1623.670238
0,2,397.138179
1,9,892.091706
5,16,1277.817159
3,7,885.397426
1,6,438.702438
0,23,1145.005308
0,7,672.02678
7,27,623.624762
0,17,651.216561
1,19,1099.655147
4,17,1983.071356
0,12,1446.669162
0,7,438.535316
5,17,2023.993959
0,9,831.298656
7,108,525.575812
1,7,623.494188
5,55,1020.828154
7,11,1373.808124
7,32,1687.472774
3,34,2203.213781
7,39,769.886396
0,15,730.872963
0,6,562.486845
0,12,361.582324
0,6,488.705514
5,38,3278.085096
5,6,1068.100582
6,28,1863.894486
5,12,1590.942564
5,24,2146.380262
4,86,1347.022151
4,17,1109.750896
5,24,863.6609
3,22,1072.20015
3,14,1490.848111
7,22,3115.762068
2,7,864.642446
7,8,965.338022
0,12,1346.819586
0,9,731.186721
5,11,796.28155
5,25,1438.291685
0,8,907.22802
3,9,892.091405
0,25,2759.675762
0,12,1070.53913
2,13,2339.095943
0,22,2768.013827
4,18,1621.330511
3,8,723.3393
3,5,794.556669
7,7,438.617958
4,70,8818.438539
1,9,941.874103
0,26,2540.080939
0,11,1124.991613
1,53,146.224549
4,33,2115.20307
0,9,1200.349483
5,11,1360.804198
0,11,864.100617
5,40,4415.952782
5,16,1071.338193
1,7,1053.816125
2,18,1124.98652
2,22,2857.411071
1,11,1578.3282
5,7,580.81015
0,11,1351.28705
3,5,527.505253
2,86,146.202144
5,51,5809.5521
1,12,1322.633184
4,6,383.291646
3,9,527.489502
5,11,396.919017
7,33,4625.771626
0,17,1406.341709
3,12,581.798889
0,5,241.325753
5,26,1315.888448
7,12,1101.39499
7,18,800.81288
0,8,827.048984
0,11,438.46414
5,7,827.089765
5,84,2073.180789
3,20,3007.313407
5,6,744.909923
7,28,2233.485423
3,6,799.191424
5,15,2679.795446
7,27,4375.540175
3,14,1162.220731
0,12,1112.821597
4,18,2096.956597
7,4,396.599258
0,12,885.161318
0,32,1432.003814
5,8,885.414908
0,11,146.161128
0,21,345.994369
0,28,3079.529674
0,88,5131.728487
3,53,1526.964363
7,20,1944.05766
5,14,1149.889237
5,11,1124.990425
0,25,3260.256269
2,6,830.82086
0,27,3486.564227
1,12,1315.392419
5,59,3772.619964
3,20,2308.359619
7,11,1071.079222
5,13,830.960611
3,22,2718.497736
7,9,1228.522173
4,10,396.614685
3,6,505.542346
5,5,692.003457
5,12,584.681702
7,11,1389.809382
0,11,1887.262518
5,15,1801.05043
5,39,675.882751
3,122,16656.38026
3,20,3443.859754
5,8,730.65163
5,15,1378.995413
1,31,1999.185998
5,11,146.184847
4,15,892.092129
5,29,3217.372986
7,12,1255.864901
5,93,2060.381308
5,4,672.027336
4,7,1444.506648
5,6,623.64563
5,9,830.960611
5,4,482.65953
1,19,2344.708254
7,33,4687.297158
3,18,2385.099602
3,13,1233.415046
5,20,2850.839533
3,8,396.741893
0,9,965.335105
7,9,1053.234022
5,35,5443.297633
5,13,1125.003146
5,18,1812.813352
7,5,723.991483
2,14,1806.992045
5,14,1687.466656
7,11,796.362508
5,9,1447.943571
3,17,1623.675202
7,16,918.716472
0,7,723.91594
7,12,1247.308209
0,3,220.493217
3,7,584.758612
7,10,1321.959396
0,10,1453.89146
5,10,958.049604
2,18,1432.0339
3,15,2002.913749
5,17,3037.294527
7,28,3975.728376
0,7,730.741488
5,5,146.174593
7,6,1356.857182
2,12,1301.302813
1,11,910.398411
2,17,241.357098
2,5,931.921789
5,3,441.2535
7,21,3379.564639
0,5,676.561004
3,8,863.867375
5,16,2109.213534
5,19,2487.529826
7,10,1101.39499
5,30,3524.90462
1,14,1169.650448
3,25,505.835669
0,109,1225.544791
3,12,440.777571
7,11,1542.691265
5,6,661.37096
5,3,586.143064
5,11,1206.586803
3,6,383.25731
4,7,799.140516
1,15,1315.409738
0,9,1634.957538
5,8,799.140154
7,5,505.748942
5,8,977.357198
2,12,799.154971
5,4,438.667888
5,6,724.136803
5,9,345.986891
3,12,1488.357796
3,5,800.312448
0,32,3845.973529
5,6,965.479355
3,12,1490.510054
3,6,793.318057
5,22,2847.792451
5,4,724.078605
0,8,1009.225543
7,12,2015.652375
3,2,146.208547
7,5,1148.133247
7,4,396.487359
3,11,383.276389
4,6,978.481002
2,19,1496.418535
0,4,346.011799
0,56,4341.522534
1,12,863.930188
7,27,1169.547974
5,12,1021.19749
5,7,769.75917
0,9,1087.612609
0,15,2330.266498
4,8,766.626184
5,21,3540.787189
0,7,672.661452
0,22,2075.936984
4,5,482.666823
1,9,1469.39725
0,14,1444.507121
5,10,1055.136446
5,10,1899.96123
0,27,3432.729794
5,9,1555.164963
2,8,818.551412
5,12,827.042493
7,12,1404.624555
5,21,2839.534214
5,14,1228.15957
5,17,2057.749632
7,21,1540.702139
3,19,1863.659779
2,17,1234.399264
2,10,864.584319
4,6,885.283767
7,8,963.878275
7,6,482.710553
5,13,1006.704542
5,4,306.676113
5,5,723.961935
6,19,730.799224
3,19,3067.425655
4,23,2365.490152
4,5,769.798934
7,22,1878.999604
7,24,1345.677392
5,13,831.07089
3,38,2514.977152
7,28,1687.493655
5,16,1907.174279
0,22,1871.312066
4,5,586.160783
0,20,1839.8536
7,6,623.743354
2,14,2096.325525
7,8,942.112674
3,27,1447.917301
1,4,438.537238
2,4,527.561928
5,9,1009.442888
5,27,1172.434029
7,5,580.867378
7,3,383.286878
7,11,1559.023434
4,15,1575.720756
4,16,1689.328775
5,17,1753.513827
5,8,907.233747
5,16,827.020231
5,7,1099.150799
5,9,1053.870995
4,28,3063.609474
5,18,1148.085257
5,11,1444.920312
