ID,EX,EY,geohash,class
135,121.422,31.141,wtw35j0c3xjk,4
136,121.486,31.21,wtw3s3x7kvxj,0
137,121.491,31.262,wtw3ue5437pt,2
138,121.433,31.123,wtw353bb9gxw,7
139,121.37,31.323,wtw61y4vtyrm,0
140,121.401,31.214,wtw3dd3d8r6d,3
141,121.377,31.314,wtw64h8130dv,0
142,121.474,31.287,wtw3upwevre2,5
143,121.429,31.252,wtw3g1mbhg0c,5
144,121.446,31.327,wtw65wfm0bj4,7
145,121.366,31.235,wtw39y0j0f0b,4
146,121.529,31.333,wtw6jryxyyw3,5
147,121.362,31.218,wtw39ej458fp,5
148,121.512,31.311,wtw6j5frfc6n,2
149,121.333,31.223,wtw38gzzpv41,5
150,121.545,31.289,wtw3vzfreu2g,1
151,121.506,31.21,wtw3sctgrj8m,5
152,121.469,31.197,wtw3kp5p8y71,0
153,121.514,31.307,wtw6j57b3rv9,4
154,121.547,31.277,wtw3vvgcdrkh,1
155,121.453,31.157,wtw35xzqsjb8,4
156,121.437,31.248,wtw3g2e8z1qh,0
157,121.426,31.121,wtw3517syyuh,5
158,121.47,31.295,wtw6h15f84uf,2
159,121.422,31.328,wtw65p0fcdmr,1
160,121.439,31.254,wtw3g3t5tzcs,5
161,121.522,31.317,wtw6jm1dezfv,7
162,121.336,31.125,wtw3144hm8x1,7
163,121.436,31.18,wtw37k4uxvk8,0
164,121.401,31.231,wtw3dt3tb26e,2
165,121.435,31.254,wtw3g3d78xfu,4
166,121.477,31.232,wtw3sm8ge6b2,7
167,121.447,31.162,wtw378g5b1yd,7
168,121.482,31.301,wtw6h6hmxc29,6
169,121.49,31.317,wtw6ht46dpvv,3
170,121.456,31.19,wtw37vcwcvmt,7
171,121.529,31.328,wtw6jrndyfqr,7
172,121.437,31.198,wtw37r7tx0wp,4
173,121.499,31.344,wtw6kf0b5chd,5
174,121.462,31.174,wtw37gjctwz9,7
175,121.432,31.282,wtw3gq8nfemy,7
176,121.417,31.216,wtw3dftnmhjj,5
177,121.424,31.237,wtw3end28qbe,7
178,121.49,31.215,wtw3sdd2d1tz,0
179,121.503,31.267,wtw3uggz3p72,6
180,121.498,31.294,wtw6hbbhu87j,2
181,121.513,31.304,wtw6j4ep40ec,7
182,121.523,31.325,wtw6jqd375hr,7
