ID,EX,EY,geohash
156,121.485,31.202,wtw3s2nsvdme
157,121.477,31.252,wtw3u32b5703
158,121.443,31.185,wtw37t01g125
159,121.416,31.293,wtw64bsqvy52
160,121.525,31.187,wtw3mm7v3wpv
161,121.485,31.313,wtw6hkqemwm8
162,121.442,31.331,wtw65rxk79wq
163,121.489,31.246,wtw3u81t4us4
164,121.431,31.151,wtw35nz7erk3
165,121.542,31.332,wtw6jzb4ju5u
166,121.411,31.245,wtw3dzbz365h
167,121.42,31.196,wtw36zp3g5fh
168,121.393,31.221,wtw3d7eetbjr
169,121.322,31.296,wtw609rbrmpz
170,121.509,31.236,wtw3tn24uumm
171,121.507,31.286,wtw3uzqwnm1g
172,121.526,31.309,wtw6j7ss1h97
173,121.48,31.275,wtw3um7n14t3
174,121.49,31.264,wtw3ue6q40jb
175,121.502,31.306,wtw6hg549v3s
176,121.485,31.319,wtw6hmqwmsv8
177,121.356,31.309,wtw61e8spu85
178,121.524,31.263,wtw3v7704mw5
179,121.496,31.27,wtw3usw8vyrz
180,121.506,31.329,wtw6hzmbxhbk
181,121.406,31.167,wtw369v0uvfu
182,121.356,31.345,wtw63d0tzg80
183,121.485,31.319,wtw6hmqwmsv8
184,121.503,31.293,wtw6hbeycn52
185,121.53,31.263,wtw3v7r2nm85
186,121.467,31.319,wtw6hj3w6hzb
187,121.502,31.221,wtw3sge59b1x
188,121.466,31.209,wtw3s12vdgq0
189,121.455,31.201,wtw37zbyfxgy
190,121.413,31.303,wtw64fd1pynk
191,121.441,31.331,wtw65rwsk3sy
192,121.475,31.221,wtw3s5x7s8jp
193,121.535,31.26,wtw3vdendy27
194,121.35,31.22,wtw397kmevy6
195,121.396,31.187,wtw36mmv7y4m
196,121.429,31.246,wtw3g0jvhu8f
197,121.397,31.249,wtw3f2wwe5u1
198,121.36,31.217,wtw39dgshywf
199,121.475,31.296,wtw6h1r2ktjp
200,121.479,31.238,wtw3sqdq9c78
201,121.421,31.285,wtw3gp2066ew
202,121.514,31.303,wtw6j4ec1qjs
203,121.39,31.269,wtw3fk3e0h06
204,121.451,31.293,wtw658tyvqj2
205,121.47,31.19,wtw3kjgybjkv
206,121.484,31.276,wtw3umtgykgz
207,121.5,31.261,wtw3ufcse0y2
208,121.439,31.297,wtw653mnjz9t
209,121.538,31.314,wtw6jst328tm
210,121.437,31.214,wtw3e67dxpq4
211,121.47,31.21,wtw3s1eg2jsv
212,121.447,31.318,wtw65t7084qd
213,121.417,31.172,wtw36ftnj1vn
214,121.408,31.177,wtw36ewe5qn1
215,121.367,31.237,wtw39y8b8nf7
216,121.416,31.293,wtw64bsqvy52
217,121.488,31.201,wtw3kxbygxfw
218,121.532,31.323,wtw6jw0vsy7m
219,121.417,31.217,wtw3dfvhjnt4
220,121.441,31.281,wtw3gqw9h3hc
221,121.377,31.271,wtw3fh8nc0fu
222,121.438,31.278,wtw3gmurw3zc
223,121.428,31.182,wtw37ht0m6p7
224,121.455,31.271,wtw3gu8yf8gu
225,121.486,31.3,wtw6h3zrsyzh
226,121.543,31.274,wtw3vv2bm0js
227,121.463,31.193,wtw37yw8mh9h
228,121.484,31.306,wtw6h7jfwm7u
229,121.489,31.259,wtw3ud98fgun
230,121.435,31.215,wtw3e6d289dz
231,121.484,31.319,wtw6hmmyqkgb
232,121.442,31.295,wtw653p6edy6
233,121.525,31.331,wtw6jreu39xy
234,121.429,31.233,wtw3ejvckv0y
235,121.415,31.19,wtw36vgwyt3v
236,121.437,31.296,wtw65378rjnp
237,121.536,31.3,wtw6j9gzdncu
238,121.429,31.202,wtw3e0juuf2g
239,121.427,31.287,wtw3gps7ypt8
240,121.441,31.215,wtw3e6w8s3sz
241,121.457,31.234,wtw3evfr1px7
242,121.476,31.305,wtw6h6bhgfyw
243,121.424,31.194,wtw37ndq0r0d
244,121.501,31.275,wtw3uv6q4d81
245,121.531,31.217,wtw3tdbhjw9d
246,121.539,31.188,wtw3mttgrbwf
247,121.384,31.239,wtw3dnvhk5wt
248,121.506,31.266,wtw3ugvcxhb6
249,121.533,31.295,wtw6j91ds4uf
