路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
BSS000000095,爱辉路,宝山,路段,呼玛路,长江西路,支路,423,10029,4164
BSS000000236,爱辉路,宝山,路段,共江路,一二八纪念路,支路,460,9747,3407
BSS000000237,爱辉路,宝山,路段,蕰藻浜,呼兰路,支路,334,7248,2718
BSS000000238,爱辉路,宝山,路段,呼兰路,呼玛路,支路,487,10920,4095
BSS000000239,爱辉路,宝山,路段,长江西路,共江路,支路,612,13650,5250
BSS000000234,安达路,宝山,路段,鹤岗路,南泗塘河,支路,474,9086,2700
BSS000000235,安达路,宝山,路段,逸仙路,鹤岗路,支路,498,5902,1628
BSS000000232,安家路,宝山,路段,德都路,庆安路,支路,191,4585,1720
BSS000020411,安淞路,宝山,路段,安达路247号,安达路,支路,200,2171,553
BSS000020408,八棉新村,宝山,路段,淞滨支路,弄内,支路,289,901,0
BSS000020396,八棉一村通道,宝山,路段,淞兴西路,淞滨路,支路,161,563,0
BSS000020736,白沙园路,宝山,路段,江杨北路,杨泰路,支路,1108,25570.5,6648
BSS000020737,白沙园路,宝山,路段,杨泰路,月城路,支路,474,10614,2844
BSS000020451,班溪路,宝山,路段,淞兴路,淞浦路,支路,168,2018,968
BSS000020401,班溪路,宝山,路段,淞滨路,淞兴路,支路,157,3185,1932
BSS000000223,宝东路,宝山,路段,宝杨路,海江路,支路,384,5185,1667
BSS000000225,宝东路,宝山,路段,海江路,永乐路,支路,321,4883,1523
BSS000000227,宝东路,宝山,路段,永乐路,双城路,支路,253,3769,1309
BSS000020668,宝钢六村北通道,宝山,路段,盘古路,市河六村桥,支路,117,526.5,0
BSS000020669,宝钢三村通道,宝山,路段,宝钢三村大门,牡丹江路,支路,82.4,458,0
BSS000020670,宝钢十一村通道,宝山,路段,盘古路,团结路,支路,138,704,0
BSS000020671,宝钢五村通道,宝山,路段,友谊路,宝钢五村,支路,68,493,119
BSS000020444,宝林八村通道,宝山,路段,东林路,密山东路,支路,449,2831,571
BSS000020525,宝林二小通道,宝山,路段,北翼商业街通道,宝林路,支路,100,905,370
BSS000020672,宝林六村通道,宝山,路段,宝杨路,宝林六村垃圾房,支路,97,485,0
BSS000000255,宝林路,宝山,路段,牡丹江路,宝杨路(西),支路,580,9823,4078
BSS000000257,宝林路,宝山,路段,东林路,友谊支路,支路,493,7904,3221
BSS000000250,宝林路,宝山,路段,宝杨路(东),子青路,支路,346,5160,2105
BSS000000231,宝林路,宝山,路段,友谊支路,牡丹江路,支路,527,8346,3408
BSS000000259,宝林路,宝山,路段,子青路,东林路,支路,280,4313,1867
BSS000020533,宝林路45号通道,宝山,路段,宝林路,区政府部门大院,支路,210,1890,0
BSS000020649,宝林七村通道,宝山,路段,宝林路,密山东路,支路,391,3182.5,1213
BSS000020673,宝林一村通道,宝山,路段,宝杨路,宝林路,支路,318,1832,242
BSS000000241,宝泉路,宝山,路段,龙镇路,四元路,支路,477,9259,4386
BSS000020743,宝山区房地产交易中心北辅通道,宝山,路段,宝杨路,岗亭,支路,100,738,108
BSS000020744,宝山区房地产交易中心通道A,宝山,路段,宝山区房地产交易中心北辅通道,宝山区房地产交易中心通道B,支路,180,1978,448
BSS000020745,宝山区房地产交易中心通道B,宝山,路段,宝山区房地产交易中心通道A,宝山区房地产交易中心通道C,支路,188.4,1266.4,0
BSS000020746,宝山区房地产交易中心通道C,宝山,路段,宝山区房地产交易中心通道B,宝杨路,支路,76.3,710,0
BSS000020747,宝山区房地产交易中心通道D,宝山,路段,宝山区房地产交易中心通道E,宝杨路,支路,50.6,506.5,0
BSS000020748,宝山区房地产交易中心通道E,宝山,路段,宝山区房地产交易中心通道C,宝山区房地产交易中心通道D,支路,65,390,0
BSS000020531,宝山五村通道,宝山,路段,牡丹江路,新思致公寓,支路,74,592,0
BSS000000243,宝杨路,宝山,路段,东林路,友谊支路,支路,497,9762,3560
BSS000000245,宝杨路,宝山,路段,宝林路,东林路,支路,350,10500,2275
BSS000000247,宝杨路,宝山,路段,友谊支路,牡丹江路,支路,496,9727,3553
BSS000000251,宝杨路,宝山,路段,牡丹江路,双庆路,支路,352,8884,1961
BSS000000249,宝杨路,宝山,路段,狮子桥,宝林路,支路,347,10998,2290.5
BSS000000210,宝杨路,宝山,路段,双庆路,同济路,支路,224,5561.5,1122
BSS000000195,北安路,宝山,路段,马路河桥,龙镇路,支路,332,5976,2700
BSS000000221,北安路,宝山,路段,江杨北路,马路河桥,支路,178,2888,1218
BSS000000194,北街,宝山,路段,赵巷街,塘西街,支路,121,363,0
BSS000020462,北康路,宝山,路段,三泉路,长临路,支路,380,3344,1140
BSS000000191,北兴路,宝山,路段,泰和路,淞滨路,支路,131,1358,679
BSS000020740,北兴路,宝山,路段,和丰路,和丰路南围墙,支路,63,378,0
BSS000000190,北兴路,宝山,路段,淞滨路,和丰路,支路,95,748,258
BSS000020615,布长街,宝山,路段,韩家湾路,亭前街,支路,150,337.5,0
BSS000020399,昌北路,宝山,路段,和丰路,淞兴路,支路,76,522,152
BSS000000189,长江路,宝山,路段,煤气厂桥,长江南路,主干路,998,21988,3932
BSS000000216,长江路,宝山,路段,军工路,煤气厂桥,主干路,539,11707,4072
BSS000000218,长江路,宝山,路段,逸仙路,军工路,主干路,445,10169,3494
BSS000000213,长江南路,宝山,路段,逸仙路,西塘桥,次干路,744,16896,5632
BSS000000214,长江南路,宝山,路段,西塘桥,西赵家宅,次干路,765,16920,5640
BSS000000215,长江南路,宝山,路段,西赵家宅,长江西路,次干路,1017,21232,7232
BSS000000204,长江西路,宝山,路段,虎林路,爱辉路,主干路,502,17900,8560
BSS000000206,长江西路,宝山,路段,爱辉路,通河路,主干路,626,13778,4330
BSS000000207,长江西路,宝山,路段,通河路,共和新路,主干路,579,13974,5670
BSS000000209,长江西路,宝山,路段,江杨南路,西新桥,主干路,602.5,16617,2492
BSS000000211,长江西路,宝山,路段,长江南路,江杨南路,主干路,1749.5,43434,7623
BSS000000212,长江西路,宝山,路段,西新桥,虎林路,主干路,193.5,4614,1154
BSS000020471,长江西路,宝山,路段,共和新路,三泉路,主干路,399,16621,2746
BSS000020472,长江西路,宝山,路段,三泉路,长临路,主干路,397,18024,3359
BSS000020473,长江西路,宝山,路段,长临路,东茭泾桥,主干路,388,18370,2754
BSS000020474,长江西路,宝山,路段,东茭泾桥,康宁路,主干路,169,5620,825
BSS000020717,长江西路,宝山,路段,康宁路,大康路,主干路,245,12250,1837.5
BSS000020718,长江西路,宝山,路段,大康路,长康路,主干路,256,12800,1536
BSS000020684,长江西路800号通道,宝山,路段,长江西路,通河八村,支路,289,1178.4,667.2
BSS000020480,长临路,宝山,路段,南薀藻路,场北路,次干路,316,6900,2640
BSS000020481,长临路,宝山,路段,场北路,长江西路,次干路,580,12888,4828
BSS000000202,长临路,宝山,路段,长江西路,共康路(与静安交界处),支路,832,17897,8585
BSS000020710,长临路,宝山,路段,呼兰西路,南蕰藻路,次干路,250,5946,1646
BSS000020685,长逸路,宝山,路段,淞南路,淞良路,支路,192.5,4325,1245
BSS000020686,长逸路,宝山,路段,淞良路,凇肇路,支路,192.5,10819,2176
BSS000020687,长逸路,宝山,路段,淞肇路,长江南路,支路,304,6096,1232
BSS000020329,长逸路,宝山,路段,逸仙路,兴淞桥,支路,90,1655,553
BSS000020330,长逸路,宝山,路段,兴淞桥,淞南路,支路,372,8184,2604
BSS000000281,长樱路,宝山,路段,杨盛河桥,蕰川路（与路政局交界处）,支路,178,2935,472
BSS000020527,长征新村通道,宝山,路段,淞滨路,长证新村幼儿园,支路,100,200,0
BSS000020475,场北路,宝山,路段,共和新路,纪薀路,支路,90,1032,420
BSS000020476,场北路,宝山,路段,纪薀路,三泉路,支路,308,5858,1988
BSS000020477,场北路,宝山,路段,三泉路,长临路,支路,339,6889,2569
BSS000020478,场北路,宝山,路段,长临路,东茭泾桥,支路,330,7245,2565
BSS000020479,场北路,宝山,路段,东茭泾桥,康宁路,支路,198,3672,1302
BSS000020727,场北路,宝山,路段,康宁路,大康路,支路,297,7128,2376
BSS000020728,场北路,宝山,路段,大康路,康文路桥,支路,385,9240,3465
BSS000020370,场联路,宝山,路段,环镇北路,场联路桥,支路,240,5120,1712
BSS000020371,场联路,宝山,路段,场联路桥,洛场路,支路,388,7869,2473
BSS000000323,陈东路,宝山,路段,新川沙路,陈川路,支路,320,2560,0
BSS000000320,春雷路,宝山,路段,四元路,春雷路桥,支路,523,10417,3397
BSS000000321,春雷路,宝山,路段,春雷路桥,绥化路,支路,211,4423,1258
BSS000020361,大华二路,宝山,路段,大华路,真华路（与普陀交界处）,支路,425,8980,3400
BSS000020115,大华二路,宝山,路段,新沪路(与宝山公路交界处,大华路,支路,322,6906,3150
BSS000020111,大华路,宝山,路段,大华二路 ,大华一路,支路,410,8820,3075
BSS000020112,大华路,宝山,路段,大华一路,新村路,支路,355,6613,1993
BSS000020107,大华路,宝山,路段,汶水路,行知路,支路,398,9709,4039
BSS000020108,大华路,宝山,路段,行知路,华灵路,支路,480,9470,3020
BSS000020109,大华路,宝山,路段,华灵路,大华三路,支路,420,7928,2528
BSS000020110,大华路,宝山,路段,大华三路,大华二路,支路,360,7375,2575
BSS000020116,大华三路,宝山,路段,新沪路,大华路,支路,518,10540,4144
BSS000020117,大华三路,宝山,路段,大华路,真华路,支路,286,5900,2288
BSS000020362,大华三路,宝山,路段,华灵路,新沪路,支路,270.8,4023,1566
BSS000020113,大华一路,宝山,路段,新沪路(宝山公路交界处),大华路,支路,420,8198,3150
BSS000020647,大华一路,宝山,路段,大华路,真华路,支路,429.2,8584,2575.2
BSS000020711,大康路,宝山,路段,长江西路,花园宅路,支路,280,6720,2520
BSS000020712,大康路,宝山,路段,花园宅路,场北路,支路,309,7416,2781
BSS000020713,大康路,宝山,路段,场北路,南蕰藻路,支路,359,8616,3231
BSS000000311,德都路,宝山,路段,月罗公路,老马路河桥,支路,81,1995,590
BSS000000304,德都路,宝山,路段,安家路,新马路河桥,支路,252,4447,1288
BSS000020455,德都路,宝山,路段,新马路河桥,绥化路,支路,207,4441,1741
BSS000020456,德都路,宝山,路段,绥化路,富锦路辅道,支路,472,10899,4149
BSS000000314,德都路,宝山,路段,老马路河桥,龙镇路,支路,418,8968,2610
BSS000000312,德都路,宝山,路段,四元路,安家路,支路,418.4,8454.5,3170
BSS000000324,德都路,宝山,路段,龙镇路,四元路,支路,377,9958,4384
BSS000020625,邓家弄,宝山,路段,水果弄,北街,支路,77,231,0
BSS000000310,电台南路,宝山,路段,沪太路,幸福路,支路,724,8688,3620
BSS000000306,东林路,宝山,路段,密山东路,宝林路,支路,210,6370,1260
BSS000000307,东林路,宝山,路段,盘古路,友谊路,支路,280,8370,1475
BSS000000308,东林路,宝山,路段,友谊路,密山东路,支路,260,7821,1560
BSS000000313,东林路,宝山,路段,漠河路,盘古路,支路,260,7875,1740
BSS000000334,东林路,宝山,路段,宝林路,宝杨路,支路,232.2,7189.8,1440
BSS000000341,东南弄,宝山,路段,市一路,亭前街,支路,260,1170,0
BSS000000342,东南弄,宝山,路段,亭前街,竹巷街,支路,133,532,0
BSS000020397,东升路,宝山,路段,淞浦路,昌北路,支路,136,1195,583
BSS000000345,东西巷街,宝山,路段,塘西街,罗店新街,支路,90,630,0
BSS000000325,东西巷街,宝山,路段,罗店新街,罗太路,支路,290,2000,0
BSS000020605,东朱路,宝山,路段,小川沙河小朱桥,潘泾路,支路,240,2880,0
BSS000020739,鄂尔多斯路,宝山,路段,环镇南路,南何支线,支路,266,5320,1596
BSS000020409,方正路,宝山,路段,西门街,友谊路,支路,187.5,1654,491
BSS000020665,富长路,宝山,路段,蕰藻浜,联谊路,主干路,552,14026,4243
BSS000020666,富长路,宝山,路段,联谊路,共富路,主干路,566,22362,3752
BSS000020667,富长路,宝山,路段,共富路,外环线（与宝山公路交界处）,主干路,400,14660,2548
BSS000000271,富锦路,宝山,路段,北泗塘河桥,克东路,支路,772,19977,2682
BSS000000273,富锦路,宝山,路段,克东路,铁力路(与宝山公路交界处),支路,208,8856,1064
BSS000000301,富锦路,宝山,路段,牡丹江路,同济路,支路,717,15782,5740
BSS000000302,富锦路,宝山,路段,同济路,北泗塘河桥,支路,270,7355,900
BSS000000299,富乐路,宝山,路段,月罗公路,富乐支路,支路,280,2800,840
BSS000000300,富乐路,宝山,路段,富乐支路,老蕴川公路,支路,212,2120,636
BSS000020579,富乐支路,宝山,路段,月罗路,富乐路,支路,206,2060,618
BSS000020617,富南路,宝山,路段,富长路富南苑,东太路,支路,154,3080,1540
BSS000020618,富南路,宝山,路段,东太路,杨南路,支路,446,8920,4460
BSS000020651,高境路,宝山,路段,殷高西路,恒高路,支路,668.7,16940,3325
BSS000020726,高境路,宝山,路段,恒高路,一二八纪念东路,支路,269,6355.8,1614
BSS000020178,高逸路,宝山,路段,铁路南何支线,殷高路,支路,657,16207,3626
BSS000020515,共富路,宝山,路段,联泰路,富长路,支路,547,17244,4552
BSS000020332,共富路,宝山,路段,蕰川路西辅道,联泰路,支路,640,12079,2479
BSS000000283,共和新路,宝山,路段,共江路,一二八纪念路,主干路,455,28416,2692
BSS000000284,共和新路,宝山,路段,长江西路,共江路,主干路,481,24078,3822
BSS000000286,共和新路,宝山,路段,呼玛路,长江西路,主干路,584,29358,5812
BSS000000290,共和新路,宝山,路段,一二八纪念路,共康路(与静安交界处),主干路,240,18639,2294
BSS000000293,共和新路,宝山,路段,呼兰路,呼玛路,主干路,462,18553,4069
BSS000000296,共和新路,宝山,路段,蕰藻浜,呼兰路,主干路,288,20109,2415
BSS000000093,共江路,宝山,路段,虎林路,爱辉路,支路,450,9930,3600
BSS000000094,共江路,宝山,路段,通河路,共和新路,支路,590,11268,4188
BSS000000056,共江路,宝山,路段,爱辉路,通河路,支路,590,11184,4104
BSS000020173,共康东路,宝山,路段,阳泉路,阳曲路,支路,528,11472,4302
BSS000020174,共康东路,宝山,路段,阳曲路,岭南路,支路,391,8185,3070
BSS000020175,共康东路,宝山,路段,岭南路,部队弹药库围墙,支路,179,3101,1162
BSS000000088,共康路,宝山,路段,长临路,东茭泾桥,支路,441,8171,2156
BSS000020446,共康路,宝山,路段,东茭泾桥,刘场路,支路,95,2030,605
BSS000020448,共康路,宝山,路段,大康路,八六二终点站,支路,300,6516,2016
BSS000020449,共康路,宝山,路段,刘场路,大康路,支路,400,8688,2688
BSS000000090,共康路,宝山,路段,共和新路,三泉路,支路,452,13180,6880
BSS000000092,共康路,宝山,路段,三泉路,长临路,支路,397,12765,7770
BSS000020463,共泉路,宝山,路段,共和新路,三泉路,支路,400,4120,1600
BSS000000096,古莲路,宝山,路段,蕴川路,塔源路,支路,965,12281.5,5790
BSS000000076,古莲路,宝山,路段,杨盛河桥,蕰川路(与宝山公路交界,支路,114,2076,480
BSS000000083,顾北路,宝山,路段,电台路,潘泾路,支路,1830,9150,0
BSS000020588,顾泾河路,宝山,路段,蕰川路,盛桥老街,支路,80,400,0
BSS000020589,顾泾河路,宝山,路段,盛桥老街,鹤林路,支路,210,1050,0
BSS000020596,顾贸路,宝山,路段,顾太路,幼儿园路,支路,213,1491,639
BSS000000082,顾新路,宝山,路段,电台南路,厂门口,支路,270,3240,1350
BSS000020512,国江路,宝山,路段,军工路,杨浦交界,支路,427,13797,2937
BSS000000005,国权北路,宝山,路段,西沙河桥,殷高路,次干路,410,5718,2448
BSS000000085,国权北路,宝山,路段,殷高路,三门路(与杨浦交界处),次干路,1011,13642,6066
BSS000000087,国权北路,宝山,路段,何家湾路,西沙河桥,次干路,483,6279,2898
BSS000020530,海滨四村通道,宝山,路段,牡丹江路,海滨四村东门,支路,100,800,0
BSS000000734,海江二路,宝山,路段,海江四路,海江路,支路,261,2707,594
BSS000000737,海江二路,宝山,路段,海江五路,海江四路,支路,111.5,1151,250
BSS000000739,海江二路,宝山,路段,宝杨路,海江五路,支路,125,1125,250
BSS000020179,海江二路,宝山,路段,海江路,永乐路,支路,443,3982,859
BSS000020180,海江路,宝山,路段,双庆路,同济路,支路,280,7061,1890
BSS000000002,海江路,宝山,路段,牡丹江路,双庆路,支路,346,5503,1213
BSS000000004,海江路,宝山,路段,宝东路,淞宝路,支路,364,6684,1959
BSS000000097,海江路,宝山,路段,永清路,牡丹江路,支路,379,6960,2265
BSS000000109,海江路,宝山,路段,塘后路,宝东路,支路,281,6596,1386
BSS000000111,海江路,宝山,路段,淞宝路,永清路,支路,525,9957,3102
BSS000000741,海江三路,宝山,路段,海江二路,牡丹江路,支路,102,1431,360
BSS000020706,海江三路,宝山,路段,牡丹江路,海江二路,支路,118,1689,450
BSS000020181,海江四路,宝山,路段,牡丹江路,海江一路,支路,177,2656,797
BSS000000743,海江四路,宝山,路段,海江二路,牡丹江路,支路,116,1992,640
BSS000000745,海江五路,宝山,路段,海江一路,牡丹江路,支路,179.8,2039,430
BSS000020183,海江五路,宝山,路段,牡丹江路,海江二路,支路,80,720,160
BSS000020182,海江一路,宝山,路段,海江五路,海江四路,支路,76,684,152
BSS000000728,海江一路,宝山,路段,海江三路,栀子花路,支路,204,2004,618
BSS000000732,海江一路,宝山,路段,海江路,海江三路,支路,155.8,1739,517
BSS000020139,海江一路,宝山,路段,宝杨路,海江五路,支路,101,1085,284
BSS000020140,海江一路,宝山,路段,海江四路,海江路,支路,244,2249,488
BSS000020707,海江一路,宝山,路段,栀子花路,永乐路,支路,128,1614,682
BSS000020675,海五通道,宝山,路段,牡丹江路,海滨五至八村大门,支路,61.8,506.7,104.7
BSS000000006,韩家湾,宝山,路段,蒋巷街,来龙路,支路,130,325,0
BSS000000105,韩家湾,宝山,路段,来龙路,亭前街,支路,120,300,0
BSS000000104,何家湾路,宝山,路段,国权北路,逸仙路,次干路,525,11610,3780
BSS000020400,和丰路,宝山,路段,东升路,同泰路,支路,190,1425,380
BSS000020403,和丰路144号,宝山,路段,金桂路,弄内,支路,50,75,0
BSS000020461,和康路,宝山,路段,共和新路,三泉路,支路,397,3811.2,1389.5
BSS000020086,河曲路,宝山,路段,殷高西路,云西路,支路,350,8400,2800
BSS000000100,鹤岗路,宝山,路段,蕰藻浜,安达路,支路,411,4727,2067
BSS000020327,鹤岗路,宝山,路段,安达路,仓储公司,支路,388,4275,1132
BSS000000099,鹤林路,宝山,路段,顾泾河桥,古莲路,支路,470,15040,10340
BSS000000066,鹤林路,宝山,路段,石太,顾泾河桥,支路,660,2380,1100
BSS000020650,恒高路,宝山,路段,江杨南路,高境路,支路,440.3,12326,3520
BSS000020626,横街,宝山,路段,塘西街,邓家弄,支路,78,312,0
BSS000000077,呼兰路,宝山,路段,通河路,共和新路,支路,582,12205,4375
BSS000000049,呼兰路,宝山,路段,爱辉路,通河路,支路,492,9793,3745
BSS000000051,呼兰路,宝山,路段,虎林路,爱辉路,支路,530,9839,3399
BSS000020423,呼兰路,宝山,路段,西泗塘河桥,虎林路,支路,129,2695,838
BSS000020424,呼兰路,宝山,路段,江杨南路,西泗塘河桥,支路,746,15250,4540
BSS000020719,呼兰西路,宝山,路段,东茭泾,长临路,支路,275,6566,2441
BSS000020720,呼兰西路,宝山,路段,长临路,共和新路,支路,594,14255.2,5345.2
BSS000000054,呼玛路,宝山,路段,虎林路,爱辉路,支路,521,11541,4461
BSS000000047,呼玛路,宝山,路段,通河路,共和新路,支路,543,12381,4836
BSS000000034,呼玛路,宝山,路段,爱辉,通河路,支路,561,12450,4830
BSS000020676,呼玛三村通道,宝山,路段,呼玛路,呼兰路,支路,615,4515.3,394.8
BSS000020677,呼玛三村通道,宝山,路段,武警大门,通河路,支路,228,1972,444.4
BSS000020388,呼青路,宝山,路段,装卸储运总公司,呼兰路,支路,340,6778,2970
BSS000020398,胡家桥路,宝山,路段,蕰藻浜,安达路,支路,434,2170,0
BSS000000038,虎林路,宝山,路段,长江西路,共江路,次干路,774,14075,6160
BSS000000040,虎林路,宝山,路段,呼玛路,长江西路,次干路,450,7513,3200
BSS000000041,虎林路,宝山,路段,呼兰路,呼玛路,次干路,410,8900,3280
BSS000020068,虎林路,宝山,路段,共江路,一二八纪念路,次干路,497,9978,3890
BSS000020422,虎林路,宝山,路段,虎林路九五十号,呼兰路,次干路,475,3975,1275
BSS000020494,沪太路,宝山,路段,纬地路,锦秋路,主干路,600,28496,3600
BSS000020495,沪太路,宝山,路段,锦秋路,上大路,主干路,900,42250,5400
BSS000020344,沪太路,宝山,路段,顾陈路,联牧路,主干路,218,10103,1308
BSS000020345,沪太路,宝山,路段,联牧路,塘祁路,主干路,677,27900,4062
BSS000020346,沪太路,宝山,路段,塘祁路,南蕰藻路,主干路,155,7511,930
BSS000020347,沪太路,宝山,路段,南蕴藻路,朗枫路,主干路,468,21508,2808
BSS000020348,沪太路,宝山,路段,郎枫路,朗悦路,主干路,250,11743,1500
BSS000020349,沪太路,宝山,路段,郎悦路,纬地路,主干路,170,7721,1020
BSS000020350,沪太路,宝山,路段,上大路,环镇北路,主干路,645,28909,3870
BSS000020351,沪太路,宝山,路段,环镇北路,洛场路,主干路,614,28278,3684
BSS000020352,沪太路,宝山,路段,洛场路,南大路,主干路,272,5924.3,2007.5
BSS000020353,沪太路,宝山,路段,南大路,真大路,主干路,580,10798,1450
BSS000020354,沪太路,宝山,路段,真大路,汶水路,主干路,1295,55343,7053
BSS000020628,花园弄,宝山,路段,塘西街,罗店新街,支路,80,480,0
BSS000020630,花园弄,宝山,路段,罗店新街,唐家弄,支路,77,462,0
BSS000020573,花园宅路,宝山,路段,长康路,康宁路,支路,593,14231,5336
BSS000020125,华灵路,宝山,路段,新沪路,大华路,次干路,554,11811,4363
BSS000020126,华灵路,宝山,路段,大华路,真华路,次干路,440,8865,3285
BSS000020127,华灵路,宝山,路段,真华路,真金路,次干路,457,8930,3260
BSS000020128,华灵路,宝山,路段,真金路,真北路,次干路,558,12722,5522
BSS000020121,华灵路,宝山,路段,灵石路,怡华苑路,次干路,295,6965,2805
BSS000020123,华灵路,宝山,路段,怡华苑路,大华三路,次干路,280,5567,2199
BSS000020124,华灵路,宝山,路段,大华三路,新沪路,次干路,590,12781,4253
BSS000020741,化成路,宝山,路段,泰和路,淞滨路/淞浦路,支路,68,884,204
BSS000020176,化成路,宝山,路段,淞宝路,泰和路,支路,638,8075,2029
BSS000020592,化肥厂集资路,宝山,路段,玻璃厂,泰和路,支路,356,3382,1246
BSS000020368,环镇北路,宝山,路段,沪太路,桃浦河桥,主干路,1038,26690,7577
BSS000020369,环镇北路,宝山,路段,桃浦河桥,南陈路(与宝山公路交界处,主干路,263,4516,834
BSS000000036,吉浦路,宝山,路段,青石路,三门路(与杨浦交界处),支路,497,11077,3622
BSS000020094,吉浦路,宝山,路段,殷高路,青石路,支路,454,8784,2574
BSS000000074,纪蕰路,宝山,路段,呼兰路,呼玛路,支路,656,9240,1630
BSS000020391,纪蕰路,宝山,路段,呼玛路,长江西路,支路,580,7540,3480
BSS000020556,江场西路,宝山,路段,静安区交界,沪太路,支路,182,6510,1614
BSS000000067,江杨南路,宝山,路段,向阳河路,一二八纪念路,主干路,835,26251,5031
BSS000000068,江杨南路,宝山,路段,一二八纪念路,殷高西路(与虹口交界处),主干路,1040,32225,6084
BSS000000065,江杨南路,宝山,路段,江杨北路桥,长江西路,主干路,1265,41651,6775
BSS000020688,江杨南路,宝山,路段,蕰藻南路,江杨北路桥下便道,主干路,527,5771,2065
BSS000000055,江杨南路,宝山,路段,长江西路,向阳河桥,主干路,506,15729,2829
BSS000020629,蒋巷街,宝山,路段,蒋巷街126弄3号,蒋巷街126弄6号,支路,21,63,0
BSS000020627,蒋巷街,宝山,路段,竹巷街,罗溪路,支路,152,456,0
BSS000020633,蒋巷街,宝山,路段,张桥新村,罗溪路,支路,137,411,0
BSS000000075,教育路,宝山,路段,顾太路,顾北路,支路,920,4600,0
BSS000000053,经二延路,宝山,路段,杨盛河桥,蕰川路(与路政局交界处）,支路,136,2407,480
BSS000000148,军工路,宝山,路段,淞沪路,国江路,主干路,380,15612,2312
BSS000000149,军工路,宝山,路段,国江路,逸仙路,主干路,750,21000,4500
BSS000020184,军工路,宝山,路段,逸仙路,长江路,主干路,550,22064,3364
BSS000000150,军工路,宝山,路段,长航锚地(与杨浦交界处),淞沪路,主干路,850,34024,5124
BSS000020177,君子兰路,宝山,路段,友谊路,信访办,支路,100,1434,384
BSS000020654,康宁路,宝山,路段,长江西路南60米,长江西路,主干路,60,2340,420
BSS000020655,康宁路,宝山,路段,长江西路,花园宅路,主干路,212,8268,1484
BSS000020656,康宁路,宝山,路段,花园宅路,泥城河桥,主干路,102,3756,1002
BSS000020657,康宁路,宝山,路段,泥城河桥,场北路,主干路,153,5893,1303
BSS000020658,康宁路,宝山,路段,场北路,花园宅河桥,主干路,310,10838,2263
BSS000020659,康宁路,宝山,路段,花园宅河桥,南蕰藻路,主干路,30,562.5,157.5
BSS000020660,康宁路,宝山,路段,南蕰藻路,蕰藻浜,主干路,200,6600,2600
BSS000020714,康文路,宝山,路段,花园宅路,泥城港桥,支路,146,3504,730
BSS000020715,康文路,宝山,路段,泥城港桥,场北路,支路,252,6048,1260
BSS000020716,康文路,宝山,路段,场北路,南蕰藻路,支路,358,8592,2590
BSS000000144,克东路,宝山,路段,护厂河桥,富锦路,支路,434,8075,2419
BSS000000146,克东路,宝山,路段,富锦路,湄浦路,支路,250,5824,3080
BSS000000141,克山路,宝山,路段,盘古路,友谊路,支路,349,6440,2100
BSS000000142,克山路,宝山,路段,友谊路,杨行镇泗塘村卫生院（室）,支路,198,2130,920
BSS000020378,克山路,宝山,路段,富锦路,湄浦河,支路,194,4088,1385
BSS000020379,克山路,宝山,路段,湄浦河,盘古路,支路,448,11544,2842
BSS000000140,来龙路,宝山,路段,罗溪路,韩家湾路,支路,485,1576.3,0
BSS000020390,兰岗路,宝山,路段,铁山路,杨行火车站,支路,810,12604,3864
BSS000020453,兰岗路,宝山,路段,铁峰路,铁山路,支路,470,10232,3377
BSS000020678,老军工路,宝山,路段,逸仙路,东海船厂大门,支路,331,4890,1580
BSS000020484,莲花山路,宝山,路段,梅林路,杨盛河桥,支路,121,2752,817
BSS000020485,莲花山路,宝山,路段,杨盛河桥,竹韵路,支路,258,7207,2574
BSS000020486,莲花山路,宝山,路段,竹韵路,杨泰路,支路,410,9312,3144
BSS000020679,联丰路,宝山,路段,盘古路,东晨市容公司,支路,134,1413.7,475.7
BSS000020516,联泰路,宝山,路段,共富路,高泾河,支路,326,8150,3260
BSS000020331,联泰路,宝山,路段,泰和西路,共富路,支路,443,10938,4300
BSS000020751,联泰路,宝山,路段,高泾河桥,联谊路,支路,138,3450,1380
BSS000020607,联谊路,宝山,路段,杨盛河,泰联路,支路,665,11637.5,0
BSS000020582,粮管所通道,宝山,路段,粮管所,粮管所东侧,支路,90,382.5,0
BSS000020061,岭南路,宝山,路段,一二八纪念路,共康东路,支路,468,10507,4429
BSS000020062,岭南路,宝山,路段,共康东路,闸北交界,支路,282,6448,2668
BSS000020602,龙飞路,宝山,路段,梅林路,蕰川路,支路,273,4368,1911
BSS000000171,龙镇路,宝山,路段,宝泉路,北安路,支路,275,5840,1995
BSS000000173,龙镇路,宝山,路段,双泉路,宝泉路,支路,93,1316,541
BSS000000175,龙镇路,宝山,路段,北安路,德都路,支路,392,9900,4010
BSS000020612,罗春路,宝山,路段,抚远路,潘泾路,支路,700,4375,0
BSS000000167,罗升路,宝山,路段,塘西街,南弄街,支路,84.5,1267.5,507
BSS000000169,罗升路,宝山,路段,南弄街,罗太,支路,341.5,5049.5,2049
BSS000000177,罗溪路,宝山,路段,一号桥,月罗,支路,172.9,4556.7,855
BSS000000158,罗溪路,宝山,路段,二号桥,市一路,支路,333.5,8542.7,1739.3
BSS000000160,罗溪路,宝山,路段,罗新路,杜家桥,支路,178.2,3740.8,1246
