ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
32,100593,5598,2020/8/1 8:08,121.493,31.289,2020/8/1 8:23,121.501,31.275,5,15,1729.090533
33,73717,5299,2020/8/1 8:10,121.512,31.259,2020/8/1 8:19,121.506,31.266,0,9,963.801838
34,94862,3097,2020/8/1 8:13,121.468,31.263,2020/8/1 8:18,121.467,31.27,7,5,781.939873
35,87745,3758,2020/8/1 8:15,121.496,31.279,2020/8/1 8:24,121.505,31.285,3,9,1084.895691
36,110540,515,2020/8/1 8:17,121.378,31.232,2020/8/1 8:20,121.374,31.234,5,3,440.905345
37,88713,6240,2020/8/1 8:19,121.469,31.253,2020/8/1 8:38,121.467,31.252,7,19,220.41901
38,124173,4581,2020/8/1 8:22,121.538,31.322,2020/8/1 8:51,121.516,31.288,5,29,4312.465321
39,123410,5397,2020/8/1 8:25,121.408,31.29,2020/8/1 8:37,121.416,31.293,3,12,831.15908
40,38814,6484,2020/8/1 8:27,121.446,31.118,2020/8/1 8:33,121.434,31.115,7,6,1192.001918
41,111638,5101,2020/8/1 8:28,121.469,31.264,2020/8/1 8:35,121.458,31.26,0,7,1137.667683
42,19141,7447,2020/8/1 8:31,121.45,31.198,2020/8/1 8:44,121.442,31.21,0,13,1533.435243
43,29035,4944,2020/8/1 8:34,121.485,31.306,2020/8/1 8:40,121.488,31.311,0,6,623.610412
44,84605,4538,2020/8/1 8:36,121.396,31.247,2020/8/1 8:47,121.391,31.233,0,11,1623.668997
45,48520,2702,2020/8/1 8:42,121.475,31.199,2020/8/1 8:48,121.482,31.202,4,6,745.448627
46,122743,1902,2020/8/1 8:44,121.447,31.391,2020/8/1 8:51,121.456,31.393,7,7,884.25896
47,114703,5472,2020/8/1 8:48,121.442,31.164,2020/8/1 9:06,121.463,31.157,4,18,2147.378627
48,30194,6637,2020/8/1 8:51,121.419,31.188,2020/8/1 8:56,121.425,31.183,0,5,796.49452
49,101500,8022,2020/8/1 8:53,121.488,31.201,2020/8/1 8:58,121.482,31.203,2,5,613.304669
50,43844,1391,2020/8/1 8:57,121.517,31.337,2020/8/1 9:07,121.506,31.329,2,10,1372.124847
51,76661,5330,2020/8/1 9:01,121.366,31.237,2020/8/1 9:08,121.362,31.231,4,7,766.660484
52,21578,651,2020/8/1 9:04,121.525,31.267,2020/8/1 9:13,121.516,31.26,0,9,1156.327115
