ID,SX,SY,class,sort
236,121.422,31.298,3,0
237,121.541,31.288,5,0
238,121.421,31.204,6,0
239,121.428,31.282,5,0
240,121.432,31.219,4,0
241,121.442,31.243,0,0
242,121.486,31.3,6,0
243,121.437,31.184,7,0
244,121.493,31.289,3,0
245,121.542,31.201,5,0
246,121.535,31.183,2,0
247,121.396,31.247,5,0
248,121.512,31.259,7,0
249,121.545,31.297,5,0
250,121.411,31.196,2,0
251,121.419,31.123,2,0
252,121.453,31.335,0,0
253,121.508,31.312,4,0
254,121.403,31.309,4,0
256,121.489,31.311,1,0
257,121.492,31.33,2,0
258,121.341,31.26,1,0
259,121.468,31.263,7,0
260,121.413,31.272,7,0
261,121.533,31.284,1,0
262,121.403,31.284,5,0
263,121.544,31.283,0,0
264,121.35,31.282,7,0
265,121.532,31.323,4,0
266,121.496,31.279,0,0
267,121.418,31.131,3,0
268,121.428,31.262,1,0
269,121.45,31.262,0,0
270,121.427,31.135,7,0
271,121.451,31.28,7,0
273,121.433,31.22,6,0
274,121.378,31.232,0,0
275,121.464,31.268,2,0
276,121.49,31.318,1,0
277,121.448,31.254,2,0
278,121.406,31.205,5,0
279,121.431,31.195,7,0
280,121.469,31.253,7,0
281,121.483,31.221,7,0
282,121.38,31.157,2,0
283,121.463,31.313,1,0
284,121.451,31.284,0,0
285,121.383,31.246,2,0
286,121.525,31.318,0,0
287,121.427,31.148,7,0
288,121.419,31.175,0,0
289,121.338,31.256,4,0
290,121.538,31.322,5,0
291,121.524,31.264,2,0
292,121.508,31.276,4,0
293,121.5,31.275,4,0
294,121.529,31.335,5,0
295,121.506,31.27,7,0
296,121.437,31.334,5,0
297,121.512,31.303,4,0
298,121.525,31.257,0,0
299,121.473,31.3,3,0
300,121.408,31.29,3,0
301,121.537,31.205,7,0
302,121.5,31.344,5,0
303,121.364,31.132,3,0
304,121.479,31.27,5,0
305,121.507,31.264,7,0
306,121.488,31.252,7,0
307,121.405,31.185,0,0
308,121.446,31.118,5,0
309,121.335,31.268,5,0
310,121.465,31.297,7,0
311,121.451,31.234,7,0
312,121.538,31.303,3,0
313,121.429,31.284,3,0
314,121.489,31.276,5,0
315,121.469,31.264,0,0
316,121.451,31.269,0,0
317,121.417,31.239,7,0
318,121.448,31.307,5,0
319,121.383,31.246,2,0
320,121.517,31.274,7,0
321,121.45,31.198,5,0
322,121.529,31.22,0,0
323,121.509,31.268,0,0
324,121.503,31.293,7,0
325,121.462,31.275,7,0
326,121.429,31.246,5,0
327,121.506,31.321,3,0
328,121.405,31.258,0,0
329,121.351,31.288,5,0
330,121.437,31.205,4,0
331,121.429,31.221,5,0
332,121.366,31.221,0,0
333,121.396,31.245,2,0
334,121.394,31.257,3,0
335,121.53,31.267,2,0
336,121.396,31.247,2,0
337,121.515,31.34,0,0
338,121.518,31.275,5,0
339,121.53,31.279,0,0
340,121.437,31.241,5,0
341,121.367,31.237,0,0
342,121.434,31.174,0,0
343,121.327,31.248,1,0
344,121.433,31.151,5,0
345,121.474,31.321,2,0
346,121.475,31.199,7,0
347,121.452,31.279,2,0
348,121.43,31.266,4,0
349,121.545,31.27,7,0
350,121.447,31.391,7,0
351,121.503,31.267,0,0
352,121.49,31.276,0,0
353,121.516,31.301,7,0
354,121.429,31.246,2,0
355,121.462,31.285,2,0
356,121.542,31.324,3,0
357,121.488,31.233,5,0
358,121.442,31.164,4,0
359,121.482,31.258,3,0
360,121.482,31.29,7,0
361,121.514,31.303,2,0
362,121.466,31.196,0,0
363,121.45,31.313,3,0
364,121.525,31.26,7,0
365,121.494,31.257,0,0
366,121.404,31.21,0,0
367,121.485,31.302,2,0
368,121.45,31.157,0,0
369,121.419,31.188,3,0
370,121.509,31.272,0,0
371,121.495,31.211,7,0
372,121.524,31.309,1,0
373,121.344,31.143,0,0
374,121.488,31.201,2,0
375,121.402,31.209,3,0
376,121.437,31.263,0,0
378,121.479,31.27,7,0
379,121.444,31.18,4,0
380,121.502,31.273,7,0
381,121.416,31.293,7,0
382,121.446,31.189,4,0
383,121.429,31.246,5,0
384,121.517,31.337,0,0
385,121.482,31.258,0,0
386,121.424,31.244,0,0
387,121.479,31.208,5,0
388,121.546,31.294,0,0
389,121.503,31.273,0,0
390,121.54,31.258,5,0
391,121.373,31.181,0,0
392,121.366,31.237,4,0
393,121.555,31.306,3,0
394,121.46,31.234,5,0
395,121.393,31.205,0,0
396,121.43,31.266,4,0
397,121.43,31.162,3,0
398,121.422,31.157,2,0
399,121.456,31.243,0,0
400,121.525,31.267,0,0
401,121.458,31.164,5,0
402,121.394,31.26,7,0
403,121.482,31.245,5,0
404,121.401,31.144,3,0
405,121.455,31.271,5,0
406,121.441,31.256,0,0
407,121.41,31.219,4,0
408,121.53,31.288,7,0
409,121.531,31.315,4,0
410,121.454,31.207,7,0
411,121.535,31.288,4,0
412,121.537,31.311,7,0
413,121.431,31.247,5,0
414,121.333,31.241,7,0
415,121.518,31.293,4,0
416,121.342,31.169,5,0
417,121.434,31.211,5,0
418,121.48,31.29,0,0
419,121.538,31.326,0,0
420,121.444,31.288,0,0
421,121.421,31.204,3,0
422,121.513,31.307,5,0
423,121.457,31.172,0,0
424,121.477,31.221,0,0
425,121.45,31.2,7,0
426,121.517,31.311,4,0
427,121.471,31.193,3,0
428,121.444,31.208,7,0
429,121.438,31.34,3,0
430,121.536,31.298,5,0
431,121.474,31.199,2,0
432,121.425,31.203,0,0
433,121.411,31.181,4,0
434,121.488,31.337,3,0
435,121.373,31.216,5,0
436,121.458,31.231,2,0
437,121.421,31.206,4,0
438,121.375,31.174,0,0
439,121.524,31.303,2,0
440,121.475,31.262,4,0
441,121.508,31.315,0,0
442,121.418,31.175,2,0
443,121.452,31.336,0,0
444,121.507,31.285,0,0
445,121.509,31.289,0,0
446,121.608,31.213,5,0
447,121.372,31.253,7,0
448,121.405,31.163,0,0
449,121.533,31.268,5,0
450,121.444,31.243,7,0
451,121.485,31.275,0,0
452,121.445,31.141,0,0
453,121.413,31.187,4,0
454,121.556,31.283,2,0
455,121.387,31.109,5,0
456,121.402,31.131,4,0
458,121.532,31.275,5,0
459,121.382,31.182,4,0
460,121.411,31.245,5,0
461,121.543,31.274,5,0
462,121.455,31.271,5,0
463,121.416,31.219,7,0
464,121.46,31.328,5,0
465,121.475,31.221,2,0
466,121.429,31.247,5,0
467,121.464,31.194,0,0
468,121.454,31.19,4,0
469,121.439,31.206,3,0
470,121.404,31.279,7,0
471,121.45,31.291,4,0
472,121.488,31.293,7,0
473,121.538,31.291,2,0
474,121.398,31.171,0,0
475,121.476,31.199,2,0
476,121.443,31.239,0,0
477,121.544,31.269,1,0
478,121.453,31.187,7,0
479,121.382,31.155,7,0
