class,lon,lat
0,121.180367,31.161415
0,121.166489,31.17358
0,121.153336,31.164995
0,121.193138,31.151411
0,121.177567,31.227278
0,121.170525,31.187895
3,121.347335,31.161168
3,121.36837,31.107447
3,121.282836,31.205883
3,121.345595,31.012068
3,121.342401,31.055215
3,121.409749,31.056489
3,121.406263,31.079772
3,121.270438,31.23916
4,121.32557,31.12748
4,121.236542,31.107054
4,121.26235,31.064268
3,121.588332,31.300066
3,121.297733,31.202121
3,121.37231,31.104135
3,121.419912,31.01297
4,121.191039,31.013692
4,121.247536,31.006186
3,121.379653,31.09056
3,121.306967,31.101138
3,121.268525,31.02315
4,121.507812,31.287992
4,121.552284,31.309387
4,121.504716,31.278101
0,121.410748,31.172062
0,121.447552,31.15283
0,121.398172,31.172352
0,121.467822,31.261938
0,121.467978,31.2642
0,121.437438,31.218444
0,121.457241,31.234953
0,121.438323,31.279587
0,121.446916,31.26242
0,121.458959,31.290312
0,121.452786,31.298408
0,121.430674,31.224532
0,121.438392,31.221564
0,121.445666,31.224771
0,121.451469,31.228594
0,121.451432,31.228758
0,121.432767,31.277428
0,121.453852,31.251497
2,121.099503,31.258809
2,121.146311,31.25635
3,121.316017,31.196056
3,121.383499,31.14781
3,121.385424,31.167181
3,121.386823,31.178439
3,121.509821,31.097688
3,121.507353,31.0971
3,121.362433,31.123179
3,121.38353,31.134137
6,121.44494,31.20235
6,121.458917,31.210203
0,121.306514,31.06157
0,121.299619,31.028838
3,121.353865,31.126213
3,121.372271,31.158856
3,121.410895,31.630731
3,121.411139,31.630717
3,121.410822,31.630417
3,121.411084,31.62973
3,121.410577,31.628838
3,121.412935,31.630985
3,121.412827,31.630641
3,121.413278,31.630263
3,121.414507,31.637715
3,121.414681,31.637615
3,121.4121,31.63744
3,121.412675,31.637458
3,121.4127,31.63715
3,121.41349,31.638744
3,121.43042,31.641149
3,121.430068,31.640476
3,121.430266,31.640354
6,121.547028,31.214338
6,121.391716,31.128914
6,121.417563,31.15433
0,121.430849,31.369335
0,121.415003,31.334705
2,121.175232,31.248432
0,121.40078,31.261324
0,121.391235,31.240244
0,121.371804,31.243355
0,121.443284,31.24786
0,121.448842,31.254065
0,121.438242,31.242123
0,121.437351,31.246141
0,121.386719,31.308111
0,121.427848,31.381818
0,121.357923,31.388594
0,121.443192,31.331841
0,121.424868,31.391728
2,121.046367,31.081464
0,121.3862,31.320295
0,121.497444,31.362499
0,121.402229,31.246908
0,121.364522,31.136561
0,121.54973,31.075516
0,121.414658,31.186398
0,121.386566,31.177416
2,121.579584,31.564459
2,121.51184,31.586069
2,121.721384,31.384517
2,121.399507,31.630183
2,121.592171,31.544935
2,121.429413,31.091412
2,121.379218,31.106125
2,121.455958,31.06653
2,121.533111,31.015617
2,121.37412,31.114987
4,121.563099,31.192002
0,121.422966,31.285238
6,121.443625,31.230796
0,121.410393,31.287687
0,121.466278,31.328428
2,121.348949,31.259079
2,121.237498,31.371109
2,121.260813,31.323044
2,121.340037,31.319512
2,121.150895,31.382536
3,121.219553,31.433853
3,121.295128,31.479709
3,121.167188,31.344624
3,121.16946,31.37048
3,121.217599,31.409665
3,121.155527,31.347165
0,121.682909,31.270935
0,121.683378,31.27103
0,121.667953,31.141387
0,121.668055,31.141144
0,121.697817,31.1864
0,121.723509,31.192955
2,121.133109,31.36393
2,121.291102,31.313668
2,121.247682,31.323899
2,121.483503,31.394592
2,121.324446,30.868943
2,121.441507,31.081789
2,121.285732,31.299076
2,121.300344,31.356437
2,121.249115,31.43256
2,121.204328,31.306825
2,121.311495,31.430081
2,121.17155,31.384379
0,121.536247,31.582405
0,121.878296,31.327631
0,121.433918,31.220352
0,121.406236,31.212226
0,121.873405,31.322058
0,121.679077,31.540617
2,121.456495,30.948538
2,121.433143,31.179973
2,121.312276,30.731879
0,121.359253,31.079657
0,121.746407,31.499748
0,121.410961,31.213244
0,121.660019,31.556709
3,121.362316,31.253594
3,121.184843,31.43354
2,121.475064,31.205036
3,121.408509,31.201313
3,121.434021,31.221163
3,121.427062,31.228286
3,121.426464,31.199454
0,121.39316,31.19475
0,121.39352,31.193694
0,121.399629,31.205742
0,121.389673,31.19976
0,121.3582,31.222372
0,121.357704,31.083115
3,121.547985,31.233003
3,121.592733,31.282553
3,121.520083,31.193667
3,121.516135,31.174959
3,121.514934,31.236377
0,121.592037,31.273832
0,121.591477,31.274686
0,121.371249,31.125014
0,121.398524,31.061908
0,121.36263,31.155495
3,121.592784,31.278712
0,121.748961,31.052589
0,121.778454,31.048485
0,121.576703,31.235831
0,121.91746,31.005668
0,121.555523,31.209494
0,121.535201,31.165057
0,121.62374,31.129927
0,121.764252,31.05566
0,121.557055,31.207419
0,121.583836,31.200231
0,121.594888,31.238624
4,121.455012,31.027922
4,121.429935,31.02485
4,121.431031,31.019055
4,121.439246,31.023107
3,121.400836,31.242918
3,121.371715,31.262511
3,121.421845,31.26332
3,121.415115,31.259709
0,121.44789,31.182643
0,121.503369,31.313007
0,121.501033,31.319511
0,121.446156,31.199102
0,121.40337,31.17961
0,121.44301,31.186044
0,121.445001,31.203568
0,121.158875,31.138056
0,121.141296,31.246971
0,121.148727,31.148966
0,121.146904,31.155916
0,121.135094,31.181757
0,121.271233,31.198116
0,121.272614,31.191927
0,121.27269,31.174097
0,121.272301,31.174809
0,121.278412,31.158569
0,121.251068,31.201702
0,121.237724,31.254478
4,121.427171,31.143437
4,121.434946,31.197954
3,121.497025,31.347334
3,121.426131,31.348389
3,121.477174,31.31558
6,121.433799,30.931905
6,121.589469,30.866163
3,121.472773,31.301426
3,121.509136,31.258432
3,121.48991,31.254977
3,121.48053,31.31255
0,121.285965,31.761875
0,121.372643,31.67672
0,121.492538,31.684002
0,121.429291,31.684727
0,121.364441,31.679688
0,121.404828,31.260364
0,121.412197,31.264537
0,121.401944,31.26041
0,121.414503,31.259554
0,121.400256,31.230666
0,121.402168,31.271762
0,121.387921,31.242667
4,121.526076,31.309497
4,121.499236,31.280381
4,121.500036,31.278977
4,121.501549,31.287039
0,121.343219,30.704926
0,121.366046,30.764284
0,121.363709,30.727701
0,121.35769,30.733985
0,121.327293,30.879917
0,121.344629,30.725605
2,121.220809,31.246203
2,121.165301,31.245895
2,121.143573,31.264181
2,121.152173,31.274768
2,121.185969,31.185981
0,121.687546,31.607969
0,121.653175,31.62336
0,121.745575,31.58707
0,121.756981,31.580603
0,121.240166,31.731667
0,121.382179,31.767414
0,121.287712,31.748074
0,121.335014,31.769623
0,121.225189,31.737791
0,121.257744,31.752266
0,121.386779,31.251247
0,121.406059,31.169769
0,121.40522,31.168077
0,121.395973,31.173086
0,121.40715,31.164127
0,121.450752,31.145187
4,121.425845,31.143043
4,121.428064,31.143255
4,121.416347,31.163245
0,121.341232,30.722435
4,121.556421,31.252214
3,121.391419,31.18868
3,121.391419,31.18868
3,121.382828,31.190401
3,121.381757,31.190303
3,121.38179,31.189695
3,121.381499,31.189295
2,121.397893,31.640713
3,121.649846,31.217462
3,121.342012,31.123069
0,121.242447,31.318069
