UID,ST
6303,2016/8/1 8:07
6361,2016/8/1 8:07
6567,2016/8/1 8:07
5667,2016/8/1 8:07
3648,2016/8/1 8:08
4913,2016/8/1 8:08
5598,2016/8/1 8:08
8002,2016/8/1 8:09
4865,2016/8/1 8:09
5290,2016/8/1 8:09
5299,2016/8/1 8:10
209,2016/8/1 8:10
5189,2016/8/1 8:10
6859,2016/8/1 8:10
4692,2016/8/1 8:11
6170,2016/8/1 8:11
6455,2016/8/1 8:12
2567,2016/8/1 8:12
5814,2016/8/1 8:12
5540,2016/8/1 8:12
3097,2016/8/1 8:13
7940,2016/8/1 8:14
6133,2016/8/1 8:14
6178,2016/8/1 8:14
3007,2016/8/1 8:14
2320,2016/8/1 8:14
7264,2016/8/1 8:15
3758,2016/8/1 8:15
4833,2016/8/1 8:15
7624,2016/8/1 8:15
7856,2016/8/1 8:15
5304,2016/8/1 8:16
2477,2016/8/1 8:16
8104,2016/8/1 8:16
515,2016/8/1 8:17
2109,2016/8/1 8:17
5964,2016/8/1 8:18
2895,2016/8/1 8:18
5853,2016/8/1 8:18
5972,2016/8/1 8:19
6240,2016/8/1 8:19
1159,2016/8/1 8:19
5296,2016/8/1 8:19
1924,2016/8/1 8:19
6526,2016/8/1 8:20
7338,2016/8/1 8:20
6543,2016/8/1 8:21
5413,2016/8/1 8:21
5894,2016/8/1 8:21
4647,2016/8/1 8:21
4581,2016/8/1 8:22
1286,2016/8/1 8:22
2731,2016/8/1 8:23
2460,2016/8/1 8:23
3670,2016/8/1 8:23
6108,2016/8/1 8:24
6547,2016/8/1 8:24
5266,2016/8/1 8:25
3352,2016/8/1 8:25
4748,2016/8/1 8:25
5397,2016/8/1 8:25
6953,2016/8/1 8:26
3403,2016/8/1 8:26
6577,2016/8/1 8:26
3104,2016/8/1 8:26
6815,2016/8/1 8:27
5851,2016/8/1 8:27
1546,2016/8/1 8:27
6484,2016/8/1 8:27
3195,2016/8/1 8:27
5157,2016/8/1 8:27
3804,2016/8/1 8:27
1878,2016/8/1 8:27
2722,2016/8/1 8:28
4604,2016/8/1 8:28
5101,2016/8/1 8:28
1179,2016/8/1 8:28
1492,2016/8/1 8:28
1236,2016/8/1 8:29
2854,2016/8/1 8:30
5452,2016/8/1 8:30
7447,2016/8/1 8:31
7760,2016/8/1 8:31
2527,2016/8/1 8:32
5593,2016/8/1 8:32
8053,2016/8/1 8:32
1866,2016/8/1 8:32
849,2016/8/1 8:32
3962,2016/8/1 8:33
909,2016/8/1 8:33
5812,2016/8/1 8:34
5407,2016/8/1 8:34
5775,2016/8/1 8:35
7288,2016/8/1 8:35
2012,2016/8/1 8:35
2123,2016/8/1 8:36
4538,2016/8/1 8:36
3284,2016/8/1 8:37
4916,2016/8/1 8:37
3640,2016/8/1 8:39
7384,2016/8/1 8:39
2792,2016/8/1 8:40
6572,2016/8/1 8:41
5373,2016/8/1 8:42
2892,2016/8/1 8:42
7720,2016/8/1 8:42
2702,2016/8/1 8:42
5268,2016/8/1 8:42
3163,2016/8/1 8:43
4190,2016/8/1 8:43
1902,2016/8/1 8:44
3776,2016/8/1 8:44
7394,2016/8/1 8:45
809,2016/8/1 8:47
3747,2016/8/1 8:47
5639,2016/8/1 8:48
2381,2016/8/1 8:48
7989,2016/8/1 8:48
5472,2016/8/1 8:48
5299,2016/8/1 8:48
4078,2016/8/1 8:48
3217,2016/8/1 8:49
6444,2016/8/1 8:49
3943,2016/8/1 8:49
7542,2016/8/1 8:50
3877,2016/8/1 8:50
3935,2016/8/1 8:50
4748,2016/8/1 8:51
3452,2016/8/1 8:51
6637,2016/8/1 8:51
3250,2016/8/1 8:52
4970,2016/8/1 8:52
5445,2016/8/1 8:52
6182,2016/8/1 8:52
8022,2016/8/1 8:53
2150,2016/8/1 8:53
1142,2016/8/1 8:53
7172,2016/8/1 8:54
1465,2016/8/1 8:55
3289,2016/8/1 8:56
6740,2016/8/1 8:56
5512,2016/8/1 8:56
942,2016/8/1 8:57
1391,2016/8/1 8:57
5159,2016/8/1 8:59
2553,2016/8/1 8:59
5073,2016/8/1 8:59
5192,2016/8/1 9:01
2648,2016/8/1 9:01
7146,2016/8/1 9:01
2812,2016/8/1 9:01
5330,2016/8/1 9:01
4999,2016/8/1 9:02
4931,2016/8/1 9:02
1126,2016/8/1 9:02
937,2016/8/1 9:03
5560,2016/8/1 9:04
124,2016/8/1 9:04
7718,2016/8/1 9:04
651,2016/8/1 9:04
776,2016/8/1 9:04
7620,2016/8/1 9:05
7946,2016/8/1 9:05
6976,2016/8/1 9:05
5636,2016/8/1 9:06
1599,2016/8/1 9:08
5875,2016/8/1 9:08
5430,2016/8/1 9:09
3183,2016/8/1 9:09
3658,2016/8/1 9:10
1625,2016/8/1 9:11
3953,2016/8/1 9:11
7419,2016/8/1 9:11
5677,2016/8/1 9:12
2039,2016/8/1 9:12
5752,2016/8/1 9:13
6242,2016/8/1 9:15
2838,2016/8/1 9:16
3456,2016/8/1 9:16
1529,2016/8/1 9:16
5361,2016/8/1 9:18
1314,2016/8/1 9:18
3885,2016/8/1 9:18
2989,2016/8/1 9:19
4349,2016/8/1 9:19
1877,2016/8/1 9:19
2855,2016/8/1 9:19
5804,2016/8/1 9:19
5297,2016/8/1 9:20
4432,2016/8/1 9:20
