ID,BID,UID,ST,WD,SX,SY,ET,DU,EX,EY,track
1,79699,759,2016/8/1 0:23,星期一,121.52,31.309,2016/8/1 0:32,9,121.525,31.316,"121.520,31.309#121.521,31.309#121.522,31.309#121.524,31.309"
2,33279,1440,2016/8/1 0:25,星期一,121.505,31.294,2016/8/1 0:40,15,121.517,31.309,"121.504,31.295#121.504,31.296#121.505,31.294#121.505,31.295#121.505,31.296#121.506,31.296#121.506,31.297#121.507,31.297#121.507,31.299#121.507,31.300#121.507,31.301#121.508,31.297#121.508,31.298#121.508,31.299#121.508,31.301#121.509,31.301#121.510,31.301#121.510,31.302#121.511,31.302#121.512,31.302#121.513,31.302#121.513,31.303#121.513,31.304#121.513,31.305#121.513,31.306#121.513,31.307#121.514,31.303#121.514,31.305#121.514,31.306#121.514,31.307#121.515,31.308#121.516,31.308#121.517,31.309"
