UID,ST,BID
1183,2020/8/1 0:43,61084
4622,2020/8/1 1:02,64570
6665,2020/8/1 1:25,104609
7741,2020/8/1 2:20,76457
1755,2020/8/1 4:08,124943
6822,2020/8/1 5:46,96457
4428,2020/8/1 6:12,13590
895,2020/8/1 6:21,110846
719,2020/8/1 6:33,121867
5949,2020/8/1 6:40,84024
3356,2020/8/1 6:45,40524
6709,2020/8/1 6:50,72819
2421,2020/8/1 6:54,43777
3691,2020/8/1 7:02,1915
2750,2020/8/1 7:09,113387
1569,2020/8/1 7:13,64873
8017,2020/8/1 7:15,30171
3289,2020/8/1 7:18,73076
802,2020/8/1 7:23,78854
3332,2020/8/1 7:28,72853
1214,2020/8/1 7:33,104613
1792,2020/8/1 7:40,93960
4371,2020/8/1 7:42,56747
5143,2020/8/1 7:44,35201
1419,2020/8/1 7:47,75636
6293,2020/8/1 7:49,53823
5866,2020/8/1 7:53,46736
5712,2020/8/1 7:55,62745
7148,2020/8/1 7:58,103238
5958,2020/8/1 8:01,75135
5170,2020/8/1 8:05,10681
5598,2020/8/1 8:08,100593
5299,2020/8/1 8:10,73717
3097,2020/8/1 8:13,94862
3758,2020/8/1 8:15,87745
515,2020/8/1 8:17,110540
6240,2020/8/1 8:19,88713
4581,2020/8/1 8:22,124173
5397,2020/8/1 8:25,123410
6484,2020/8/1 8:27,38814
5101,2020/8/1 8:28,111638
7447,2020/8/1 8:31,19141
4944,2020/8/1 8:34,29035
4538,2020/8/1 8:36,84605
2702,2020/8/1 8:42,48520
1902,2020/8/1 8:44,122743
5472,2020/8/1 8:48,114703
6637,2020/8/1 8:51,30194
8022,2020/8/1 8:53,101500
1391,2020/8/1 8:57,43844
5330,2020/8/1 9:01,76661
651,2020/8/1 9:04,21578
5875,2020/8/1 9:08,53162
5677,2020/8/1 9:12,58801
1314,2020/8/1 9:18,8697
5297,2020/8/1 9:20,50020
7849,2020/8/1 9:24,37070
4222,2020/8/1 9:28,11281
5140,2020/8/1 9:31,26374
3254,2020/8/1 9:38,57654
1820,2020/8/1 9:48,43682
6919,2020/8/1 9:56,80140
3539,2020/8/1 10:02,22849
1922,2020/8/1 10:06,113839
425,2020/8/1 10:15,101556
2859,2020/8/1 10:25,105509
4745,2020/8/1 10:35,12388
7502,2020/8/1 10:47,44061
7212,2020/8/1 10:55,55900
6480,2020/8/1 11:09,84828
1798,2020/8/1 11:21,87366
2256,2020/8/1 11:26,6560
943,2020/8/1 11:34,41466
5781,2020/8/1 11:52,16696
7053,2020/8/1 12:03,73767
3985,2020/8/1 12:09,4693
822,2020/8/1 12:13,4969
5534,2020/8/1 12:23,122618
5781,2020/8/1 12:33,46590
7861,2020/8/1 12:45,99366
5718,2020/8/1 12:50,32720
3964,2020/8/1 13:00,35032
6101,2020/8/1 13:05,61687
7704,2020/8/1 13:11,108085
4529,2020/8/1 13:15,106245
5197,2020/8/1 13:20,25403
5842,2020/8/1 13:31,25127
5116,2020/8/1 13:37,112722
593,2020/8/1 13:43,71642
7430,2020/8/1 13:53,125098
3878,2020/8/1 14:01,115605
924,2020/8/1 14:09,29665
2484,2020/8/1 14:17,90833
6625,2020/8/1 14:21,117793
6414,2020/8/1 14:32,42089
6911,2020/8/1 14:45,94419
7392,2020/8/1 14:54,1175
1124,2020/8/1 15:01,93404
4762,2020/8/1 15:04,126628
8114,2020/8/1 15:13,115283
976,2020/8/1 15:18,114991
1581,2020/8/1 15:26,17112
1123,2020/8/1 15:28,31271
