UID,ST,BID
4038,2020/8/1 15:35,103632
822,2020/8/1 15:45,32312
3013,2020/8/1 15:52,20035
5550,2020/8/1 15:57,71105
7706,2020/8/1 16:05,7147
2859,2020/8/1 16:15,49080
5390,2020/8/1 16:19,49964
6762,2020/8/1 16:23,87122
7268,2020/8/1 16:31,99409
7622,2020/8/1 16:34,127164
4343,2020/8/1 16:42,7018
2098,2020/8/1 16:47,25409
733,2020/8/1 16:55,90462
6337,2020/8/1 17:02,21539
6256,2020/8/1 17:06,71292
3660,2020/8/1 17:11,56158
5390,2020/8/1 17:13,83700
3829,2020/8/1 17:17,63302
7172,2020/8/1 17:19,88573
5376,2020/8/1 17:23,57068
2882,2020/8/1 17:26,122667
3855,2020/8/1 17:28,115283
778,2020/8/1 17:31,99550
2444,2020/8/1 17:33,69449
4364,2020/8/1 17:34,126549
5781,2020/8/1 17:37,119860
5593,2020/8/1 17:39,32763
3312,2020/8/1 17:41,35290
6548,2020/8/1 17:43,54679
7774,2020/8/1 17:44,40268
7830,2020/8/1 17:47,106194
6036,2020/8/1 17:52,35661
2023,2020/8/1 17:53,127573
7527,2020/8/1 17:57,19541
4426,2020/8/1 18:00,27971
4452,2020/8/1 18:03,94745
6637,2020/8/1 18:05,14475
5228,2020/8/1 18:07,107766
7046,2020/8/1 18:08,93080
5489,2020/8/1 18:10,63513
7518,2020/8/1 18:11,105058
821,2020/8/1 18:13,20238
2405,2020/8/1 18:16,119359
2400,2020/8/1 18:18,124784
265,2020/8/1 18:19,31745
2616,2020/8/1 18:20,127725
4885,2020/8/1 18:22,127806
4512,2020/8/1 18:26,91220
8088,2020/8/1 18:29,43354
6714,2020/8/1 18:31,33610
4514,2020/8/1 18:32,44464
5868,2020/8/1 18:36,62758
7180,2020/8/1 18:39,127862
1982,2020/8/1 18:41,71195
2778,2020/8/1 18:44,83767
4203,2020/8/1 18:47,127869
1959,2020/8/1 18:49,25364
2347,2020/8/1 18:51,2463
4877,2020/8/1 18:53,56277
2043,2020/8/1 18:57,9247
5211,2020/8/1 19:01,11663
324,2020/8/1 19:03,77726
3947,2020/8/1 19:06,45715
7064,2020/8/1 19:08,81575
6389,2020/8/1 19:11,33956
1577,2020/8/1 19:14,85446
8097,2020/8/1 19:18,112788
5827,2020/8/1 19:20,75939
5390,2020/8/1 19:23,117659
5241,2020/8/1 19:26,127963
3117,2020/8/1 19:28,107050
1091,2020/8/1 19:34,49771
4218,2020/8/1 19:35,22034
7248,2020/8/1 19:40,11374
6320,2020/8/1 19:42,100237
2073,2020/8/1 19:44,110021
5895,2020/8/1 19:48,26039
1305,2020/8/1 19:52,4521
3018,2020/8/1 19:56,94937
5161,2020/8/1 19:57,123917
7455,2020/8/1 19:59,121511
7360,2020/8/1 20:01,42418
3804,2020/8/1 20:07,8060
7008,2020/8/1 20:11,13374
874,2020/8/1 20:13,125394
7823,2020/8/1 20:17,107699
2989,2020/8/1 20:19,7528
7507,2020/8/1 20:21,43850
6157,2020/8/1 20:23,127681
6278,2020/8/1 20:28,50944
7345,2020/8/1 20:32,109298
7366,2020/8/1 20:36,123746
4435,2020/8/1 20:37,73893
6015,2020/8/1 20:41,17564
1985,2020/8/1 20:44,124116
8040,2020/8/1 20:47,77863
3935,2020/8/1 20:48,74336
6220,2020/8/1 20:51,87706
4012,2020/8/1 20:56,69103
4828,2020/8/1 20:57,27300
3271,2020/8/1 21:01,101368
6343,2020/8/1 21:04,57613
6602,2020/8/1 21:07,24621
5668,2020/8/1 21:12,96934
2860,2020/8/1 21:16,49183
2935,2020/8/1 21:20,125253
5960,2020/8/1 21:24,123900
2355,2020/8/1 21:29,129115
2792,2020/8/1 21:38,25416
2741,2020/8/1 21:43,72413
7776,2020/8/1 21:46,49013
1567,2020/8/1 21:53,104950
2915,2020/8/1 21:56,118716
6059,2020/8/1 22:01,533
7285,2020/8/1 22:03,108102
2188,2020/8/1 22:09,81897
7570,2020/8/1 22:13,82995
1183,2020/8/1 22:23,129422
8524,2020/8/1 22:30,12434
5697,2020/8/1 22:38,129402
7812,2020/8/1 22:44,129444
4617,2020/8/1 22:53,96490
5945,2020/8/1 23:06,36261
2943,2020/8/1 23:23,129460
2411,2020/8/1 23:43,128094
5510,2020/8/2 0:25,105845
7634,2020/8/2 1:11,62385
8552,2020/8/2 1:45,108833
5350,2020/8/2 6:18,83357
4609,2020/8/2 7:01,14198
7400,2020/8/2 7:23,120954
6603,2020/8/2 7:33,74558
4697,2020/8/2 7:46,72397
5737,2020/8/2 7:55,77629
2387,2020/8/2 8:08,72753
4026,2020/8/2 8:16,126752
734,2020/8/2 8:17,79226
836,2020/8/2 8:18,93862
4198,2020/8/2 8:19,54566
6197,2020/8/2 8:20,24088
7919,2020/8/2 8:22,125411
8602,2020/8/2 8:25,14460
5903,2020/8/2 8:29,122425
3089,2020/8/2 8:32,105256
6135,2020/8/2 8:36,22937
8251,2020/8/2 8:37,104457
6525,2020/8/2 8:41,105830
4833,2020/8/2 8:43,82270
966,2020/8/2 8:45,60476
6963,2020/8/2 8:49,26311
307,2020/8/2 8:53,112484
5197,2020/8/2 8:56,127315
5547,2020/8/2 8:58,35307
2331,2020/8/2 9:01,129459
975,2020/8/2 9:04,104011
5226,2020/8/2 9:05,103232
4570,2020/8/2 9:08,66729
4804,2020/8/2 9:13,94392
5335,2020/8/2 9:17,128027
4978,2020/8/2 9:21,9535
7409,2020/8/2 9:26,46796
5617,2020/8/2 9:28,71332
5361,2020/8/2 9:37,45304
1725,2020/8/2 9:45,63284
137,2020/8/2 9:47,62181
2911,2020/8/2 9:51,2452
5754,2020/8/2 9:59,30016
6358,2020/8/2 10:08,127460
979,2020/8/2 10:15,17143
4607,2020/8/2 10:23,15250
2786,2020/8/2 10:34,24337
7706,2020/8/2 10:45,1265
2015,2020/8/2 10:54,107272
6643,2020/8/2 11:00,16415
4420,2020/8/2 11:10,126216
2990,2020/8/2 11:18,118937
6678,2020/8/2 11:27,118178
2806,2020/8/2 11:35,49010
2939,2020/8/2 11:41,22356
2841,2020/8/2 11:47,26721
8460,2020/8/2 12:00,105795
7808,2020/8/2 12:06,54396
6338,2020/8/2 12:13,108085
7695,2020/8/2 12:19,117812
5044,2020/8/2 12:29,72305
636,2020/8/2 12:37,58794
5834,2020/8/2 12:42,126083
6590,2020/8/2 12:50,117314
7636,2020/8/2 12:59,78387
8631,2020/8/2 13:11,131369
8092,2020/8/2 13:19,127466
5912,2020/8/2 13:25,46589
3658,2020/8/2 13:32,81393
7891,2020/8/2 13:37,17193
2923,2020/8/2 13:47,41210
7652,2020/8/2 13:54,49882
3241,2020/8/2 14:01,130805
226,2020/8/2 14:13,131795
7244,2020/8/2 14:23,17674
5325,2020/8/2 14:31,96756
1866,2020/8/2 14:47,30182
6323,2020/8/2 15:03,60939
1294,2020/8/2 15:15,119302
6548,2020/8/2 15:26,131062
4824,2020/8/2 15:36,92611
6113,2020/8/2 15:44,17053
5403,2020/8/2 15:49,106461
5498,2020/8/2 15:59,75656
1103,2020/8/2 16:07,77874
2183,2020/8/2 16:14,114609
679,2020/8/2 16:22,89588
7019,2020/8/2 16:30,86488
7990,2020/8/2 16:38,6226
2558,2020/8/2 16:42,58948
3317,2020/8/2 16:46,28486
2851,2020/8/2 16:53,64714
2425,2020/8/2 16:59,4362
7616,2020/8/2 17:03,22374
5031,2020/8/2 17:05,77162
7073,2020/8/2 17:08,107992
5217,2020/8/2 17:11,16855
5229,2020/8/2 17:12,44083
4205,2020/8/2 17:13,124869
7723,2020/8/2 17:18,66182
5890,2020/8/2 17:22,76279
4592,2020/8/2 17:26,110424
5016,2020/8/2 17:29,117966
3243,2020/8/2 17:33,15470
5358,2020/8/2 17:36,131490
7639,2020/8/2 17:38,42754
3328,2020/8/2 17:40,115463
5807,2020/8/2 17:42,16975
2972,2020/8/2 17:45,26620
3071,2020/8/2 17:48,130672
603,2020/8/2 17:51,127620
7155,2020/8/2 17:54,80467
4314,2020/8/2 17:55,107079
5669,2020/8/2 17:58,107553
6808,2020/8/2 18:01,72066
734,2020/8/2 18:02,25934
3280,2020/8/2 18:04,93585
1135,2020/8/2 18:06,91500
4210,2020/8/2 18:08,12980
7861,2020/8/2 18:10,122694
8529,2020/8/2 18:11,21601
742,2020/8/2 18:14,110420
7266,2020/8/2 18:16,55113
2799,2020/8/2 18:18,44290
3237,2020/8/2 18:19,127242
7890,2020/8/2 18:22,73259
7765,2020/8/2 18:24,14031
886,2020/8/2 18:27,125186
3080,2020/8/2 18:30,111269
103,2020/8/2 18:35,67729
5605,2020/8/2 18:38,123186
6368,2020/8/2 18:44,120123
8612,2020/8/2 18:46,94284
1465,2020/8/2 18:49,84942
5835,2020/8/2 18:52,34079
1226,2020/8/2 18:57,121463
6493,2020/8/2 19:01,75003
6316,2020/8/2 19:04,18803
1341,2020/8/2 19:06,68261
5930,2020/8/2 19:08,47052
4001,2020/8/2 19:10,128280
4879,2020/8/2 19:13,71516
7351,2020/8/2 19:17,39278
7271,2020/8/2 19:21,63496
2355,2020/8/2 19:26,47998
6680,2020/8/2 19:28,55720
4373,2020/8/2 19:31,19199
1229,2020/8/2 19:35,82995
5171,2020/8/2 19:38,60617
1389,2020/8/2 19:41,126620
6009,2020/8/2 19:44,132176
5454,2020/8/2 19:49,104082
4784,2020/8/2 19:53,133477
5672,2020/8/2 19:57,116409
3227,2020/8/2 20:02,60392
7032,2020/8/2 20:09,27589
4218,2020/8/2 20:13,112636
7544,2020/8/2 20:15,129581
5745,2020/8/2 20:19,90211
7968,2020/8/2 20:21,95645
7056,2020/8/2 20:23,78969
3923,2020/8/2 20:30,120055
5621,2020/8/2 20:34,131690
5147,2020/8/2 20:38,83912
3845,2020/8/2 20:42,103079
2718,2020/8/2 20:46,133799
7210,2020/8/2 20:53,59233
751,2020/8/2 20:59,133084
2852,2020/8/2 21:04,86706
2700,2020/8/2 21:09,31442
4083,2020/8/2 21:16,8720
3599,2020/8/2 21:19,103217
5277,2020/8/2 21:25,84127
5493,2020/8/2 21:31,106385
2192,2020/8/2 21:38,12699
8188,2020/8/2 21:48,33206
4880,2020/8/2 21:54,44588
5999,2020/8/2 22:05,113197
2678,2020/8/2 22:12,43164
2578,2020/8/2 22:18,134252
4978,2020/8/2 22:37,134243
2484,2020/8/2 22:55,95837
1562,2020/8/2 23:32,29398
4579,2020/8/3 1:49,101955
8082,2020/8/3 3:25,102792
7374,2020/8/3 5:50,58565
3633,2020/8/3 6:12,122641
4972,2020/8/3 6:25,13733
3107,2020/8/3 6:36,37732
643,2020/8/3 6:42,97699
4099,2020/8/3 6:52,52791
7957,2020/8/3 6:57,80895
5553,2020/8/3 7:01,130291
5836,2020/8/3 7:04,53715
4429,2020/8/3 7:11,104992
3426,2020/8/3 7:16,131697
2569,2020/8/3 7:20,104638
5139,2020/8/3 7:25,56317
2379,2020/8/3 7:26,117985
5800,2020/8/3 7:29,62519
6144,2020/8/3 7:31,17638
8101,2020/8/3 7:35,93775
7726,2020/8/3 7:39,64407
4548,2020/8/3 7:43,130275
2888,2020/8/3 7:46,64954
7328,2020/8/3 7:49,115881
6079,2020/8/3 7:50,116577
3556,2020/8/3 7:54,114585
82,2020/8/3 7:55,6499
5521,2020/8/3 7:59,20424
8558,2020/8/3 8:01,28374
8166,2020/8/3 8:02,72753
2064,2020/8/3 8:05,20839
5504,2020/8/3 8:08,110555
5720,2020/8/3 8:10,66534
4925,2020/8/3 8:11,63655
776,2020/8/3 8:12,128474
7679,2020/8/3 8:14,26610
2268,2020/8/3 8:16,88419
8502,2020/8/3 8:18,79386
7018,2020/8/3 8:21,97200
6866,2020/8/3 8:23,89498
6206,2020/8/3 8:27,114100
3491,2020/8/3 8:30,70016
5812,2020/8/3 8:32,43728
6470,2020/8/3 8:34,102003
1521,2020/8/3 8:35,28149
6342,2020/8/3 8:38,84996
7806,2020/8/3 8:41,82012
4321,2020/8/3 8:43,36466
4099,2020/8/3 8:45,135066
6971,2020/8/3 8:48,29963
2698,2020/8/3 8:50,75613
1499,2020/8/3 8:52,37814
2285,2020/8/3 8:54,100126
6837,2020/8/3 8:58,78883
8223,2020/8/3 9:02,32449
3063,2020/8/3 9:05,91105
4828,2020/8/3 9:10,96422
8331,2020/8/3 9:14,100733
7389,2020/8/3 9:19,23734
4809,2020/8/3 9:21,127485
6599,2020/8/3 9:24,71290
6927,2020/8/3 9:29,87584
7573,2020/8/3 9:32,106408
7773,2020/8/3 9:36,9228
942,2020/8/3 9:45,125606
2845,2020/8/3 9:51,34550
5654,2020/8/3 9:57,370
8654,2020/8/3 10:02,135565
2878,2020/8/3 10:04,86197
8145,2020/8/3 10:09,78297
2633,2020/8/3 10:19,35156
8465,2020/8/3 10:27,61689
6202,2020/8/3 10:36,13912
1181,2020/8/3 10:44,32231
8423,2020/8/3 10:53,2729
7425,2020/8/3 11:02,118618
7484,2020/8/3 11:12,134425
7420,2020/8/3 11:18,109129
2565,2020/8/3 11:26,121082
5472,2020/8/3 11:36,2075
4043,2020/8/3 11:43,29370
6058,2020/8/3 11:46,103331
2339,2020/8/3 11:57,38388
87,2020/8/3 12:07,100477
5997,2020/8/3 12:28,92436
7932,2020/8/3 12:36,80404
142,2020/8/3 12:46,4581
7442,2020/8/3 12:52,89954
1870,2020/8/3 13:01,136078
8406,2020/8/3 13:09,20429
6541,2020/8/3 13:25,103069
4287,2020/8/3 13:36,117634
3786,2020/8/3 13:46,118020
7976,2020/8/3 13:50,102944
7638,2020/8/3 14:03,1018
2201,2020/8/3 14:20,94590
5200,2020/8/3 14:28,99385
2846,2020/8/3 14:37,97058
4521,2020/8/3 14:44,92679
6335,2020/8/3 14:48,124023
2423,2020/8/3 14:56,75302
7531,2020/8/3 15:02,73030
6984,2020/8/3 15:07,103869
6332,2020/8/3 15:14,18847
5832,2020/8/3 15:21,135547
7996,2020/8/3 15:29,52424
4567,2020/8/3 15:33,125137
8303,2020/8/3 15:48,2714
2348,2020/8/3 15:58,27409
4974,2020/8/3 16:03,136878
5097,2020/8/3 16:09,29305
5997,2020/8/3 16:18,137040
7053,2020/8/3 16:24,134524
8812,2020/8/3 16:28,64634
6698,2020/8/3 16:35,96135
5012,2020/8/3 16:44,137163
3560,2020/8/3 16:50,65234
1037,2020/8/3 16:53,46511
4701,2020/8/3 16:58,58079
5789,2020/8/3 17:01,128375
5354,2020/8/3 17:03,129515
2379,2020/8/3 17:06,118048
6312,2020/8/3 17:08,102158
3323,2020/8/3 17:11,134232
1567,2020/8/3 17:13,1420
4545,2020/8/3 17:18,129245
4370,2020/8/3 17:19,137347
3936,2020/8/3 17:23,89911
702,2020/8/3 17:25,45733
8142,2020/8/3 17:28,26219
8801,2020/8/3 17:32,89282
5934,2020/8/3 17:34,135730
7249,2020/8/3 17:35,79032
1724,2020/8/3 17:37,91455
5649,2020/8/3 17:38,26294
1183,2020/8/3 17:39,128410
1146,2020/8/3 17:42,73291
7713,2020/8/3 17:45,137483
7830,2020/8/3 17:48,54714
7164,2020/8/3 17:49,90740
2728,2020/8/3 17:52,35988
6209,2020/8/3 17:54,48896
7380,2020/8/3 17:56,127510
6274,2020/8/3 17:58,110822
4902,2020/8/3 18:01,79762
4634,2020/8/3 18:02,134511
4241,2020/8/3 18:04,88594
6561,2020/8/3 18:06,105564
6827,2020/8/3 18:08,80701
2019,2020/8/3 18:11,109770
4539,2020/8/3 18:12,23507
5850,2020/8/3 18:14,92300
7288,2020/8/3 18:16,109570
6678,2020/8/3 18:18,59753
6309,2020/8/3 18:20,95208
1403,2020/8/3 18:22,55800
3144,2020/8/3 18:23,92225
1823,2020/8/3 18:26,118068
3259,2020/8/3 18:28,108408
7459,2020/8/3 18:33,127945
6625,2020/8/3 18:34,41675
2982,2020/8/3 18:38,45436
6513,2020/8/3 18:40,14121
6278,2020/8/3 18:42,15384
6251,2020/8/3 18:44,79614
5813,2020/8/3 18:46,135919
5780,2020/8/3 18:49,79747
5162,2020/8/3 18:52,32971
4182,2020/8/3 18:53,89676
6008,2020/8/3 18:53,75878
8218,2020/8/3 18:57,56013
862,2020/8/3 19:00,57271
8125,2020/8/3 19:03,33373
7493,2020/8/3 19:06,54081
8220,2020/8/3 19:09,127946
3092,2020/8/3 19:12,109735
8141,2020/8/3 19:14,79386
3280,2020/8/3 19:15,126992
6241,2020/8/3 19:17,109790
6124,2020/8/3 19:20,132599
3293,2020/8/3 19:23,62180
3380,2020/8/3 19:25,77602
7751,2020/8/3 19:29,18672
8773,2020/8/3 19:32,29977
7167,2020/8/3 19:36,80631
2404,2020/8/3 19:39,133447
8668,2020/8/3 19:42,38947
6262,2020/8/3 19:46,121607
2141,2020/8/3 19:52,107023
1368,2020/8/3 19:56,138326
728,2020/8/3 20:00,1856
2421,2020/8/3 20:03,86766
2840,2020/8/3 20:08,106703
5582,2020/8/3 20:11,28812
632,2020/8/3 20:17,111207
6837,2020/8/3 20:20,76771
7346,2020/8/3 20:22,98313
1445,2020/8/3 20:23,138306
5597,2020/8/3 20:27,98202
8077,2020/8/3 20:31,87516
4934,2020/8/3 20:34,65853
7057,2020/8/3 20:36,85321
7278,2020/8/3 20:37,138651
1988,2020/8/3 20:40,4602
3289,2020/8/3 20:43,64224
3714,2020/8/3 20:48,123476
7456,2020/8/3 20:50,132936
7521,2020/8/3 20:53,115541
2077,2020/8/3 20:56,4665
7115,2020/8/3 21:00,135003
5241,2020/8/3 21:03,23154
637,2020/8/3 21:05,65277
1637,2020/8/3 21:08,138536
7690,2020/8/3 21:11,90181
5506,2020/8/3 21:15,49398
1210,2020/8/3 21:18,46772
1988,2020/8/3 21:22,4093
1529,2020/8/3 21:27,26659
7061,2020/8/3 21:29,54581
1191,2020/8/3 21:32,26060
6450,2020/8/3 21:36,98313
1858,2020/8/3 21:44,139166
5195,2020/8/3 21:50,120631
6050,2020/8/3 21:54,124773
8437,2020/8/3 22:01,30560
4373,2020/8/3 22:10,118089
2645,2020/8/3 22:17,97966
3543,2020/8/3 22:25,66704
7436,2020/8/3 22:31,132605
5234,2020/8/3 22:37,139467
952,2020/8/3 22:47,10870
5643,2020/8/3 22:56,11027
6769,2020/8/3 23:09,108694
1933,2020/8/3 23:21,117890
1269,2020/8/3 23:37,127590
4197,2020/8/4 0:01,70191
8152,2020/8/4 1:19,33402
2523,2020/8/4 2:30,45026
5356,2020/8/4 3:09,93703
459,2020/8/4 5:02,138199
8522,2020/8/4 5:42,63074
6070,2020/8/4 6:09,64298
6599,2020/8/4 6:21,129585
5776,2020/8/4 6:34,66670
5227,2020/8/4 6:42,33577
7052,2020/8/4 6:49,35676
826,2020/8/4 6:51,140056
5546,2020/8/4 6:53,91788
5052,2020/8/4 6:58,46579
85,2020/8/4 7:03,82345
6629,2020/8/4 7:09,95144
3847,2020/8/4 7:12,131473
7239,2020/8/4 7:15,80724
6261,2020/8/4 7:19,131107
2324,2020/8/4 7:23,94191
5534,2020/8/4 7:25,134867
7639,2020/8/4 7:27,28927
8268,2020/8/4 7:30,80625
6018,2020/8/4 7:34,130247
6531,2020/8/4 7:39,127082
5712,2020/8/4 7:41,98359
2476,2020/8/4 7:44,73141
937,2020/8/4 7:45,73069
4887,2020/8/4 7:46,113512
5885,2020/8/4 7:48,47495
9389,2020/8/4 7:50,113116
2961,2020/8/4 7:52,37548
3050,2020/8/4 7:54,37052
5350,2020/8/4 7:55,3848
5286,2020/8/4 7:56,139387
6695,2020/8/4 7:59,74776
5342,2020/8/4 8:01,57821
444,2020/8/4 8:03,130317
2651,2020/8/4 8:06,74458
2434,2020/8/4 8:08,126583
7830,2020/8/4 8:10,44299
5282,2020/8/4 8:11,127977
6002,2020/8/4 8:13,125041
6798,2020/8/4 8:15,8286
7652,2020/8/4 8:17,78745
8219,2020/8/4 8:20,125728
8171,2020/8/4 8:22,58796
7113,2020/8/4 8:24,76578
1962,2020/8/4 8:25,43206
2117,2020/8/4 8:28,79938
4156,2020/8/4 8:30,140406
9317,2020/8/4 8:33,107920
5878,2020/8/4 8:34,91320
5583,2020/8/4 8:36,100499
4838,2020/8/4 8:38,55374
5105,2020/8/4 8:41,105074
2125,2020/8/4 8:44,135364
7377,2020/8/4 8:46,134927
6376,2020/8/4 8:48,37208
5871,2020/8/4 8:49,96583
7969,2020/8/4 8:54,32046
8566,2020/8/4 8:56,134566
6022,2020/8/4 8:57,101503
8812,2020/8/4 8:58,2621
9074,2020/8/4 9:00,140597
6069,2020/8/4 9:02,139617
4524,2020/8/4 9:05,67048
5688,2020/8/4 9:08,137736
3847,2020/8/4 9:10,7519
6943,2020/8/4 9:12,21318
2903,2020/8/4 9:15,85715
7582,2020/8/4 9:19,12278
6304,2020/8/4 9:24,140709
8950,2020/8/4 9:28,122497
2123,2020/8/4 9:32,100126
3615,2020/8/4 9:38,97817
7168,2020/8/4 9:43,102553
6943,2020/8/4 9:48,96881
6432,2020/8/4 9:54,57816
4515,2020/8/4 10:01,84875
2763,2020/8/4 10:11,49155
4248,2020/8/4 10:14,140968
2138,2020/8/4 10:19,139428
6019,2020/8/4 10:25,96318
6032,2020/8/4 10:33,25274
4343,2020/8/4 10:41,22186
4865,2020/8/4 10:50,123376
8258,2020/8/4 10:57,69338
3167,2020/8/4 11:03,137548
7321,2020/8/4 11:11,139773
8491,2020/8/4 11:29,31128
6132,2020/8/4 11:42,70121
8937,2020/8/4 11:48,11962
3060,2020/8/4 11:58,141280
6132,2020/8/4 12:10,70121
8984,2020/8/4 12:20,109056
5847,2020/8/4 12:37,42728
6020,2020/8/4 12:48,91694
7803,2020/8/4 12:58,127521
4180,2020/8/4 13:16,103071
8509,2020/8/4 13:26,75810
1845,2020/8/4 13:44,36590
8723,2020/8/4 13:58,136465
5181,2020/8/4 14:42,16177
6581,2020/8/4 15:02,140870
8481,2020/8/4 15:19,122037
7485,2020/8/4 15:28,127900
7370,2020/8/4 15:39,48493
5389,2020/8/4 16:42,125171
4058,2020/8/4 16:43,142108
2998,2020/8/4 16:43,142122
7131,2020/8/4 16:45,112360
4543,2020/8/4 16:48,118584
7819,2020/8/4 16:52,127401
2900,2020/8/4 16:57,142329
7952,2020/8/4 17:02,68125
8740,2020/8/4 17:04,127351
2600,2020/8/4 17:06,97612
3767,2020/8/4 17:10,12336
8418,2020/8/4 17:12,31935
6268,2020/8/4 17:17,87335
7228,2020/8/4 17:18,142401
5577,2020/8/4 17:20,58829
4913,2020/8/4 17:22,42662
4444,2020/8/4 17:27,127471
8520,2020/8/4 17:29,46646
103,2020/8/4 17:31,6268
5006,2020/8/4 17:34,63620
8471,2020/8/4 17:36,27692
7359,2020/8/4 17:37,95620
9136,2020/8/4 17:39,98544
59,2020/8/4 17:41,56064
207,2020/8/4 17:43,92534
8506,2020/8/4 17:45,117098
7066,2020/8/4 17:46,79965
8197,2020/8/4 17:48,71768
6574,2020/8/4 17:50,54812
5261,2020/8/4 17:55,38411
8172,2020/8/4 17:57,48468
7122,2020/8/4 17:59,49729
8443,2020/8/4 18:02,88005
4559,2020/8/4 18:05,124326
6248,2020/8/4 19:14,28908
8807,2020/8/4 19:16,80945
5682,2020/8/4 19:16,90495
8501,2020/8/4 19:16,127781
6818,2020/8/4 19:18,143675
4242,2020/8/4 19:19,62948
3920,2020/8/4 19:20,46485
4113,2020/8/4 19:22,143729
6882,2020/8/4 19:23,142557
8722,2020/8/4 19:25,29011
8965,2020/8/4 19:27,85210
3661,2020/8/4 19:29,71369
2731,2020/8/4 19:31,122755
3098,2020/8/4 19:32,104605
5881,2020/8/4 19:38,18022
1652,2020/8/4 19:41,5982
1629,2020/8/4 19:43,74005
1741,2020/8/4 19:46,143803
2048,2020/8/4 19:50,13692
5124,2020/8/4 19:53,143806
5494,2020/8/4 19:57,129545
8258,2020/8/4 19:59,141784
1564,2020/8/4 20:01,97877
6909,2020/8/4 20:03,108111
81,2020/8/4 20:05,14468
8990,2020/8/4 20:08,117221
5335,2020/8/4 20:10,124057
6617,2020/8/4 20:14,65262
5667,2020/8/4 20:17,32467
1893,2020/8/4 20:18,121564
8784,2020/8/4 20:21,144220
6039,2020/8/4 20:23,105291
4549,2020/8/4 20:25,26747
3562,2020/8/4 20:30,144205
7295,2020/8/4 20:33,2321
1555,2020/8/4 20:36,103099
6153,2020/8/4 20:38,42429
8812,2020/8/4 20:43,121067
184,2020/8/4 20:45,103251
