ID,EX,EY
330,121.438,31.209
331,121.453,31.238
332,121.351,31.23
333,121.391,31.233
334,121.404,31.248
335,121.532,31.26
336,121.391,31.233
337,121.506,31.329
338,121.521,31.28
339,121.52,31.297
340,121.426,31.231
341,121.359,31.226
342,121.441,31.173
343,121.334,31.242
344,121.441,31.153
345,121.484,31.32
346,121.482,31.202
347,121.439,31.277
348,121.425,31.261
349,121.544,31.274
350,121.456,31.393
351,121.501,31.261
352,121.491,31.289
353,121.51,31.306
354,121.433,31.249
355,121.485,31.291
356,121.546,31.312
357,121.492,31.231
358,121.463,31.157
359,121.485,31.249
360,121.476,31.291
361,121.507,31.308
362,121.445,31.198
363,121.447,31.318
364,121.512,31.262
365,121.483,31.255
366,121.402,31.203
367,121.489,31.294
368,121.443,31.17
369,121.425,31.183
370,121.508,31.268
371,121.498,31.216
372,121.512,31.305
373,121.339,31.149
374,121.482,31.203
375,121.403,31.208
376,121.44,31.257
378,121.466,31.266
379,121.446,31.175
380,121.506,31.264
381,121.406,31.294
382,121.449,31.187
383,121.439,31.249
384,121.506,31.329
385,121.483,31.254
386,121.417,31.239
387,121.47,31.209
388,121.513,31.273
389,121.508,31.254
390,121.542,31.27
391,121.371,31.186
392,121.362,31.231
393,121.549,31.307
394,121.463,31.219
395,121.384,31.175
396,121.419,31.275
397,121.431,31.168
398,121.403,31.171
399,121.454,31.233
400,121.516,31.26
401,121.451,31.158
402,121.4,31.261
403,121.476,31.239
404,121.396,31.163
405,121.448,31.268
406,121.461,31.249
407,121.414,31.218
408,121.528,31.279
409,121.528,31.309
410,121.446,31.193
411,121.529,31.285
412,121.528,31.278
413,121.433,31.251
414,121.328,31.249
415,121.501,31.286
416,121.348,31.155
417,121.431,31.216
418,121.495,31.294
419,121.532,31.323
420,121.453,31.298
421,121.429,31.209
422,121.485,31.306
423,121.458,31.168
424,121.46,31.23
425,121.451,31.205
426,121.527,31.309
427,121.47,31.201
428,121.45,31.205
429,121.432,31.338
430,121.533,31.295
431,121.473,31.193
432,121.436,31.194
433,121.425,31.179
434,121.498,31.358
435,121.37,31.208
436,121.461,31.233
437,121.423,31.199
438,121.383,31.175
439,121.522,31.305
440,121.483,31.256
441,121.507,31.313
442,121.402,31.174
443,121.441,31.331
444,121.502,31.286
445,121.519,31.301
446,121.6,31.202
447,121.366,31.237
448,121.402,31.165
449,121.542,31.264
450,121.443,31.239
451,121.49,31.274
452,121.436,31.137
453,121.424,31.179
454,121.555,31.28
455,121.399,31.105
456,121.406,31.136
458,121.536,31.27
459,121.379,31.194
460,121.41,31.242
461,121.526,31.287
462,121.446,31.266
463,121.41,31.222
464,121.458,31.334
465,121.438,31.216
466,121.426,31.253
467,121.466,31.197
468,121.449,31.188
469,121.429,31.209
470,121.422,31.274
471,121.444,31.289
472,121.49,31.292
473,121.534,31.29
474,121.403,31.164
475,121.482,31.201
476,121.453,31.245
477,121.537,31.264
478,121.442,31.191
479,121.412,31.156
480,121.393,31.132
481,121.404,31.165
482,121.353,31.22
483,121.423,31.268
484,121.406,31.275
485,121.524,31.309
486,121.373,31.232
487,121.458,31.267
488,121.448,31.297
489,121.451,31.205
490,121.486,31.216
491,121.427,31.229
492,121.374,31.177
493,121.439,31.155
494,121.502,31.172
495,121.42,31.201
496,121.532,31.259
497,121.438,31.176
498,121.478,31.239
499,121.403,31.164
500,121.488,31.229
501,121.44,31.228
502,121.493,31.251
503,121.482,31.202
504,121.444,31.221
505,121.45,31.236
506,121.501,31.261
507,121.55,31.271
508,121.473,31.214
509,121.366,31.256
510,121.452,31.281
511,121.53,31.263
512,121.499,31.208
513,121.438,31.34
514,121.453,31.279
515,121.547,31.264
516,121.443,31.24
517,121.459,31.195
518,121.459,31.205
519,121.478,31.307
520,121.426,31.241
521,121.439,31.206
522,121.484,31.303
523,121.447,31.161
524,121.473,31.237
525,121.347,31.137
526,121.466,31.297
527,121.31,31.215
528,121.531,31.306
529,121.544,31.232
530,121.356,31.171
531,121.351,31.149
532,121.488,31.202
533,121.467,31.263
534,121.473,31.294
535,121.441,31.368
536,121.399,31.131
537,121.444,31.17
538,121.423,31.254
539,121.524,31.324
540,121.508,31.263
541,121.431,31.336
542,121.46,31.26
544,121.388,31.186
545,121.455,31.196
546,121.39,31.209
547,121.514,31.274
548,121.519,31.237
549,121.488,31.267
550,121.381,31.232
551,121.367,31.219
552,121.457,31.225
553,121.535,31.293
554,121.421,31.284
555,121.32,31.24
556,121.477,31.291
557,121.424,31.179
558,121.467,31.304
559,121.538,31.313
560,121.35,31.281
561,121.424,31.186
562,121.507,31.257
563,121.397,31.251
564,121.537,31.264
565,121.409,31.185
566,121.489,31.233
567,121.515,31.303
568,121.416,31.215
569,121.491,31.248
570,121.449,31.219
571,121.496,31.311
572,121.505,31.283
573,121.49,31.34
574,121.52,31.312
575,121.498,31.272
576,121.529,31.274
577,121.536,31.259
578,121.473,31.268
579,121.502,31.309
580,121.479,31.265
581,121.492,31.263
582,121.542,31.218
583,121.452,31.171
584,121.354,31.223
586,121.422,31.277
587,121.479,31.212
588,121.382,31.171
589,121.416,31.141
590,121.536,31.289
591,121.479,31.266
592,121.429,31.333
593,121.443,31.156
594,121.471,31.199
595,121.47,31.204
596,121.499,31.221
597,121.486,31.246
598,121.498,31.217
599,121.358,31.244
600,121.509,31.281
601,121.465,31.267
602,121.447,31.248
603,121.438,31.192
604,121.418,31.18
605,121.437,31.295
606,121.388,31.214
607,121.475,31.323
608,121.408,31.163
609,121.48,31.279
610,121.507,31.279
611,121.419,31.192
612,121.452,31.278
613,121.447,31.214
614,121.402,31.132
615,121.442,31.282
616,121.439,31.214
617,121.473,31.223
618,121.431,31.203
619,121.459,31.333
620,121.453,31.201
621,121.626,31.26
622,121.439,31.277
623,121.421,31.152
624,121.537,31.328
625,121.483,31.206
626,121.451,31.208
627,121.427,31.182
628,121.534,31.212
629,121.474,31.328
