DU
10
16
2
20
35
16
8
11
5
23
15
28
4
3
4
15
9
9
15
13
15
6
8
15
5
8
10
21
44
19
10
15
9
5
9
3
19
29
12
6
7
13
6
11
6
7
18
5
5
10
7
9
4
6
16
4
5
11
15
6
20
21
12
3
8
3
4
6
24
8
4
6
12
7
3
7
6
16
12
15
6
7
30
18
12
15
3
9
8
8
11
9
5
60
10
10
2
6
23
12
8
48
15
4
10
28
10
11
45
14
4
23
17
6
28
6
26
7
77
8
14
14
10
14
8
6
22
31
10
14
19
29
13
58
9
5
5
19
4
23
47
8
17
63
21
11
30
19
99
21
41
5
19
41
62
61
7
54
21
4
15
27
6
9
19
11
9
15
11
12
32
92
12
25
21
6
9
7
4
6
6
10
27
6
29
12
7
29
18
39
40
15
17
29
63
4
31
8
22
36
32
5
25
23
8
9
16
5
8
29
12
19
6
36
12
36
12
19
24
2
61
3
12
20
10
5
26
8
9
61
11
13
6
4
5
15
9
10
12
10
14
19
7
7
12
15
11
3
10
9
14
6
10
11
9
19
7
19
2
29
6
9
9
25
8
7
7
5
15
13
12
3
7
42
4
9
6
17
14
33
5
4
2
9
6
15
9
3
9
4
6
9
10
81
4
9
4
4
8
22
23
3
9
16
4
7
19
14
9
4
35
15
6
103
12
4
15
4
5
10
10
4
10
19
28
30
3
24
4
29
8
14
6
21
5
3
10
4
52
28
4
7
9
77
7
12
28
24
19
52
16
12
11
9
27
7
5
52
21
63
5
25
11
31
9
13
24
5
13
13
46
7
29
28
3
8
7
12
13
80
16
11
7
18
35
53
19
25
18
21
34
6
6
6
15
6
4
8
15
8
12
25
39
23
4
17
18
8
4
19
17
4
28
8
9
7
7
24
15
19
4
18
19
9
11
7
19
51
23
13
11
5
10
11
12
8
8
45
11
12
6
7
8
5
6
3
14
10
4
3
4
9
18
12
6
10
14
14
10
9
4
3
10
9
5
17
11
4
8
9
6
7
36
4
8
4
6
8
8
10
10
6
29
12
10
27
11
11
4
5
7
9
15
5
9
8
4
6
7
10
27
9
9
4
8
137
11
19
20
